team,pos,season
Mansfield Town,4,2018-19
Forest Green Rovers,5,2018-19
Tranmere Rovers,6,2018-19
Newport County AFC,7,2018-19
Colchester United,8,2018-19
Exeter City,9,2018-19
Stevenage FC,10,2018-19
Carlisle United,11,2018-19
Crewe Alexandra,12,2018-19
Swindon Town,13,2018-19
Oldham Athletic,14,2018-19
Northampton Town,15,2018-19
Cheltenham Town,16,2018-19
Grimsby Town,17,2018-19
Morecambe,18,2018-19
Crawley Town,19,2018-19
Port Vale,20,2018-19
Cambridge United,21,2018-19
Macclesfield Town,22,2018-19
Notts County,23,2018-19
Yeovil Town,24,2018-19
Accrington Stanley,1,2017-18
Luton Town,2,2017-18
Wycombe Wanderers,3,2017-18
Exeter City,4,2017-18
Notts County,5,2017-18
Coventry City,6,2017-18
Lincoln City,7,2017-18
Mansfield Town,8,2017-18
Swindon Town,9,2017-18
Carlisle United,10,2017-18
Newport County AFC,11,2017-18
Cambridge United,12,2017-18
Colchester United,13,2017-18
Crawley Town,14,2017-18
Crewe Alexandra,15,2017-18
Stevenage FC,16,2017-18
Cheltenham Town,17,2017-18
Grimsby Town,18,2017-18
Yeovil Town,19,2017-18
Port Vale,20,2017-18
Forest Green Rovers,21,2017-18
Morecambe,22,2017-18
Barnet,23,2017-18
Chesterfield,24,2017-18
Portsmouth,1,2016-17
Plymouth Argyle,2,2016-17
Doncaster Rovers,3,2016-17
Luton Town,4,2016-17
Exeter City,5,2016-17
Carlisle United,6,2016-17
Blackpool,7,2016-17
Colchester United,8,2016-17
Wycombe Wanderers,9,2016-17
Stevenage FC,10,2016-17
Cambridge United,11,2016-17
Mansfield Town,12,2016-17
Accrington Stanley,13,2016-17
Grimsby Town,14,2016-17
Barnet,15,2016-17
Notts County,16,2016-17
Crewe Alexandra,17,2016-17
Morecambe,18,2016-17
Crawley Town,19,2016-17
Yeovil Town,20,2016-17
Cheltenham Town,21,2016-17
Newport County AFC,22,2016-17
Hartlepool United,23,2016-17
Leyton Orient,24,2016-17
Northampton Town,1,2015-16
Oxford United,2,2015-16
Bristol Rovers,3,2015-16
Accrington Stanley,4,2015-16
Plymouth Argyle,5,2015-16
Portsmouth,6,2015-16
AFC Wimbledon,7,2015-16
Leyton Orient,8,2015-16
Cambridge United,9,2015-16
Carlisle United,10,2015-16
Luton Town,11,2015-16
Mansfield Town,12,2015-16
Wycombe Wanderers,13,2015-16
Exeter City,14,2015-16
Barnet,15,2015-16
Hartlepool United,16,2015-16
Notts County,17,2015-16
Stevenage FC,18,2015-16
Yeovil Town,19,2015-16
Crawley Town,20,2015-16
Morecambe,21,2015-16
Newport County AFC,22,2015-16
Dagenham Redbridge,23,2015-16
York City,24,2015-16
Burton Albion,1,2014-15
Shrewsbury Town,2,2014-15
Bury,3,2014-15
Wycombe Wanderers,4,2014-15
Southend United,5,2014-15
Stevenage FC,6,2014-15
Plymouth Argyle,7,2014-15
Luton Town,8,2014-15
Newport County AFC,9,2014-15
Exeter City,10,2014-15
Morecambe,11,2014-15
Northampton Town,12,2014-15
Oxford United,13,2014-15
Dagenham Redbridge,14,2014-15
AFC Wimbledon,15,2014-15
Portsmouth,16,2014-15
Accrington Stanley,17,2014-15
York City,18,2014-15
Cambridge United,19,2014-15
Carlisle United,20,2014-15
Mansfield Town,21,2014-15
Hartlepool United,22,2014-15
Cheltenham Town,23,2014-15
Tranmere Rovers,24,2014-15
Chesterfield,1,2013-14
Scunthorpe United,2,2013-14
Rochdale,3,2013-14
Fleetwood Town,4,2013-14
Southend United,5,2013-14
Burton Albion,6,2013-14
York City,7,2013-14
Oxford United,8,2013-14
Dagenham Redbridge,9,2013-14
Plymouth Argyle,10,2013-14
Mansfield Town,11,2013-14
Bury,12,2013-14
Portsmouth,13,2013-14
Newport County AFC,14,2013-14
Accrington Stanley,15,2013-14
Exeter City,16,2013-14
Cheltenham Town,17,2013-14
Morecambe,18,2013-14
Hartlepool United,19,2013-14
AFC Wimbledon,20,2013-14
Northampton Town,21,2013-14
Wycombe Wanderers,22,2013-14
Bristol Rovers,23,2013-14
Torquay United,24,2013-14
Gillingham,1,2012-13
Rotherham United,2,2012-13
Port Vale,3,2012-13
Burton Albion,4,2012-13
Cheltenham Town,5,2012-13
Northampton Town,6,2012-13
Bradford City,7,2012-13
Chesterfield,8,2012-13
Oxford United,9,2012-13
Exeter City,10,2012-13
Southend United,11,2012-13
Rochdale,12,2012-13
Fleetwood Town,13,2012-13
Bristol Rovers,14,2012-13
Wycombe Wanderers,15,2012-13
Morecambe,16,2012-13
York City,17,2012-13
Accrington Stanley,18,2012-13
Torquay United,19,2012-13
AFC Wimbledon,20,2012-13
Plymouth Argyle,21,2012-13
Dagenham Redbridge,22,2012-13
Barnet,23,2012-13
Aldershot Town,24,2012-13
Swindon Town,1,2011-12
Shrewsbury Town,2,2011-12
Crawley Town,3,2011-12
Southend United,4,2011-12
Torquay United,5,2011-12
Cheltenham Town,6,2011-12
Crewe Alexandra,7,2011-12
Gillingham,8,2011-12
Oxford United,9,2011-12
Rotherham United,10,2011-12
Aldershot Town,11,2011-12
Port Vale,12,2011-12
Bristol Rovers,13,2011-12
Accrington Stanley,14,2011-12
Morecambe,15,2011-12
AFC Wimbledon,16,2011-12
Burton Albion,17,2011-12
Bradford City,18,2011-12
Dagenham Redbridge,19,2011-12
Northampton Town,20,2011-12
Plymouth Argyle,21,2011-12
Barnet,22,2011-12
Hereford,23,2011-12
Macclesfield Town,24,2011-12
