team,pos,season
Trabzonspor,5,2009-10
İstanbul Başakşehir FK,6,2009-10
Eskişehirspor SK,7,2009-10
Kayserispor,8,2009-10
Antalyaspor,9,2009-10
Gençlerbirligi SK,10,2009-10
MKE Ankaragücü,11,2009-10
Kasimpaşa SK,12,2009-10
Gaziantep FK,13,2009-10
Vestel Manisaspor,14,2009-10
Sivasspor,15,2009-10
Diyarbakırspor,16,2009-10
Denizlispor,17,2009-10
Osmanlıspor,18,2009-10
