team,pos,season
Standard de Liège,5,2019-20
KV Mechelen,6,2019-20
KRC Genk,7,2019-20
RSC Anderlecht,8,2019-20
SV Zulte Waregem,9,2019-20
KV Kortrijk,10,2019-20
Sint-Truidense VV,11,2019-20
KAS Eupen,12,2019-20
Cercle Brugge,13,2019-20
KV Oostende,14,2019-20
Waasland-Beveren,15,2019-20
Royal Excel Mouscron,16,2019-20
KRC Genk,1,2018-19
Club Brugge,2,2018-19
Standard de Liège,3,2018-19
Royal Antwerp FC,4,2018-19
KAA Gent,5,2018-19
RSC Anderlecht,6,2018-19
Sint-Truidense VV,7,2018-19
KV Kortrijk,8,2018-19
Royal Excel Mouscron,9,2018-19
Sporting Charleroi,10,2018-19
SV Zulte Waregem,11,2018-19
KAS Eupen,12,2018-19
Cercle Brugge,13,2018-19
Waasland-Beveren,14,2018-19
KV Oostende,15,2018-19
Sporting Lokeren,16,2018-19
Club Brugge,1,2017-18
RSC Anderlecht,2,2017-18
Standard de Liège,3,2017-18
KAA Gent,4,2017-18
KRC Genk,5,2017-18
Sporting Charleroi,6,2017-18
KV Kortrijk,7,2017-18
Royal Antwerp FC,8,2017-18
SV Zulte Waregem,9,2017-18
Sint-Truidense VV,10,2017-18
KV Oostende,11,2017-18
Waasland-Beveren,12,2017-18
Sporting Lokeren,13,2017-18
Royal Excel Mouscron,14,2017-18
KAS Eupen,15,2017-18
KV Mechelen,16,2017-18
RSC Anderlecht,1,2016-17
Club Brugge,2,2016-17
KRC Genk,3,2016-17
KV Mechelen,4,2016-17
KAA Gent,5,2016-17
KV Oostende,6,2016-17
Sporting Charleroi,7,2016-17
SV Zulte Waregem,8,2016-17
Standard de Liège,9,2016-17
Sint-Truidense VV,10,2016-17
Waasland-Beveren,11,2016-17
Sporting Lokeren,12,2016-17
KAS Eupen,13,2016-17
KV Kortrijk,14,2016-17
Royal Excel Mouscron,15,2016-17
KVC Westerlo,16,2016-17
Club Brugge,1,2015-16
RSC Anderlecht,2,2015-16
KAA Gent,3,2015-16
KRC Genk,4,2015-16
KV Oostende,5,2015-16
Sporting Charleroi,6,2015-16
KV Kortrijk,7,2015-16
Standard de Liège,8,2015-16
SV Zulte Waregem,9,2015-16
Sporting Lokeren,10,2015-16
KV Mechelen,11,2015-16
Waasland-Beveren,12,2015-16
Royal Excel Mouscron,13,2015-16
Sint-Truidense VV,14,2015-16
KVC Westerlo,15,2015-16
Oud-Heverlee Leuven,16,2015-16
RSC Anderlecht,1,2014-15
KVC Westerlo,2,2014-15
Waasland-Beveren,3,2014-15
Standard de Liège,4,2014-15
Sporting Charleroi,5,2014-15
KV Oostende,6,2014-15
Royal Excel Mouscron,7,2014-15
Sporting Lokeren,8,2014-15
Lierse SK,9,2014-15
KV Mechelen,10,2014-15
KV Kortrijk,11,2014-15
KAA Gent,12,2014-15
KRC Genk,13,2014-15
Club Brugge,14,2014-15
Cercle Brugge,15,2014-15
SV Zulte Waregem,16,2014-15
Standard de Liège,1,2013-14
RSC Anderlecht,2,2013-14
Club Brugge,3,2013-14
SV Zulte Waregem,4,2013-14
Sporting Lokeren,5,2013-14
KV Kortrijk,6,2013-14
KAA Gent,7,2013-14
KRC Genk,8,2013-14
KV Oostende,9,2013-14
Sporting Charleroi,10,2013-14
KV Mechelen,11,2013-14
Lierse SK,12,2013-14
Waasland-Beveren,13,2013-14
Oud-Heverlee Leuven,14,2013-14
Cercle Brugge,15,2013-14
RAEC Mons,16,2013-14
RSC Anderlecht,1,2012-13
SV Zulte Waregem,2,2012-13
Club Brugge,3,2012-13
Standard de Liège,4,2012-13
KRC Genk,5,2012-13
KAA Gent,6,2012-13
Sporting Lokeren,7,2012-13
RAEC Mons,8,2012-13
KV Mechelen,9,2012-13
Oud-Heverlee Leuven,10,2012-13
KV Kortrijk,11,2012-13
Sporting Charleroi,12,2012-13
Waasland-Beveren,13,2012-13
Lierse SK,14,2012-13
Beerschot AC,15,2012-13
Cercle Brugge,16,2012-13
RSC Anderlecht,1,2011-12
Club Brugge,2,2011-12
KAA Gent,3,2011-12
KRC Genk,4,2011-12
Cercle Brugge,5,2011-12
Standard de Liège,6,2011-12
KV Kortrijk,7,2011-12
Sporting Lokeren,8,2011-12
RAEC Mons,9,2011-12
Beerschot AC,10,2011-12
KV Mechelen,11,2011-12
Oud-Heverlee Leuven,12,2011-12
SV Zulte Waregem,13,2011-12
Lierse SK,14,2011-12
KVC Westerlo,15,2011-12
Sint-Truidense VV,16,2011-12
RSC Anderlecht,1,2010-11
KRC Genk,2,2010-11
KAA Gent,3,2010-11
KV Mechelen,4,2010-11
Club Brugge,5,2010-11
Sporting Lokeren,6,2010-11
Standard de Liège,7,2010-11
Cercle Brugge,8,2010-11
KVC Westerlo,9,2010-11
KV Kortrijk,10,2010-11
SV Zulte Waregem,11,2010-11
Sint-Truidense VV,12,2010-11
Beerschot AC,13,2010-11
Lierse SK,14,2010-11
KAS Eupen,15,2010-11
Sporting Charleroi,16,2010-11
RSC Anderlecht,1,2009-10
Club Brugge,2,2009-10
KAA Gent,3,2009-10
KV Kortrijk,4,2009-10
Sint-Truidense VV,5,2009-10
SV Zulte Waregem,6,2009-10
Standard de Liège,7,2009-10
KV Mechelen,8,2009-10
Cercle Brugge,9,2009-10
Beerschot AC,10,2009-10
KRC Genk,11,2009-10
KVC Westerlo,12,2009-10
Sporting Charleroi,13,2009-10
KSV Roeselare,14,2009-10
Sporting Lokeren,15,2009-10
