team,pos,season
Dijon FCO,18,2018-19
SM Caen,19,2018-19
En Avant de Guingamp,20,2018-19
Paris Saint-Germain,1,2017-18
AS Monaco,2,2017-18
Olympique Lyonnais,3,2017-18
Olympique de Marseille,4,2017-18
Stade Rennais,5,2017-18
FC Girondins de Bordeaux,6,2017-18
AS Saint-Étienne,7,2017-18
OGC Nice,8,2017-18
FC Nantes,9,2017-18
Montpellier HSC,10,2017-18
Dijon FCO,11,2017-18
En Avant de Guingamp,12,2017-18
Amiens SC,13,2017-18
Angers SCO,14,2017-18
RC Strasbourg,15,2017-18
SM Caen,16,2017-18
Lille OSC,17,2017-18
Toulouse FC,18,2017-18
ESTAC Troyes,19,2017-18
FC Metz,20,2017-18
AS Monaco,1,2016-17
Paris Saint-Germain,2,2016-17
OGC Nice,3,2016-17
Olympique Lyonnais,4,2016-17
Olympique de Marseille,5,2016-17
FC Girondins de Bordeaux,6,2016-17
FC Nantes,7,2016-17
AS Saint-Étienne,8,2016-17
Stade Rennais,9,2016-17
En Avant de Guingamp,10,2016-17
Lille OSC,11,2016-17
Angers SCO,12,2016-17
Toulouse FC,13,2016-17
FC Metz,14,2016-17
Montpellier HSC,15,2016-17
Dijon FCO,16,2016-17
FC Lorient,17,2016-17
SM Caen,18,2016-17
AS Nancy Lorraine,19,2016-17
Sporting Club Bastia,20,2016-17
Paris Saint-Germain,1,2015-16
Olympique Lyonnais,2,2015-16
AS Monaco,3,2015-16
OGC Nice,4,2015-16
Lille OSC,5,2015-16
AS Saint-Étienne,6,2015-16
SM Caen,7,2015-16
Stade Rennais,8,2015-16
Angers SCO,9,2015-16
Sporting Club Bastia,10,2015-16
FC Girondins de Bordeaux,11,2015-16
Montpellier HSC,12,2015-16
Olympique de Marseille,13,2015-16
FC Nantes,14,2015-16
FC Lorient,15,2015-16
En Avant de Guingamp,16,2015-16
Toulouse FC,17,2015-16
Stade de Reims,18,2015-16
GFC Ajaccio,19,2015-16
ESTAC Troyes,20,2015-16
Sporting Club Bastia,1,2014-15
AS Monaco,2,2014-15
Montpellier HSC,3,2014-15
FC Nantes,4,2014-15
OGC Nice,5,2014-15
Paris Saint-Germain,6,2014-15
Stade de Reims,7,2014-15
Stade Rennais,8,2014-15
AS Saint-Étienne,9,2014-15
FC Metz,10,2014-15
Olympique de Marseille,11,2014-15
FC Girondins de Bordeaux,12,2014-15
SM Caen,13,2014-15
Évian Thonon Gaillard FC,14,2014-15
En Avant de Guingamp,15,2014-15
RC Lens,16,2014-15
Lille OSC,17,2014-15
FC Lorient,18,2014-15
Olympique Lyonnais,19,2014-15
Toulouse FC,20,2014-15
Paris Saint-Germain,1,2013-14
AS Monaco,2,2013-14
Lille OSC,3,2013-14
AS Saint-Étienne,4,2013-14
Olympique Lyonnais,5,2013-14
Olympique de Marseille,6,2013-14
FC Girondins de Bordeaux,7,2013-14
FC Nantes,8,2013-14
FC Lorient,9,2013-14
Toulouse FC,10,2013-14
Stade de Reims,11,2013-14
Stade Rennais,12,2013-14
Sporting Club Bastia,13,2013-14
Évian Thonon Gaillard FC,14,2013-14
Montpellier HSC,15,2013-14
En Avant de Guingamp,16,2013-14
OGC Nice,17,2013-14
FC Sochaux,18,2013-14
Valenciennes FC,19,2013-14
AC Ajaccio,20,2013-14
Paris Saint-Germain,1,2012-13
Olympique de Marseille,2,2012-13
Olympique Lyonnais,3,2012-13
OGC Nice,4,2012-13
AS Saint-Étienne,5,2012-13
Lille OSC,6,2012-13
FC Girondins de Bordeaux,7,2012-13
FC Lorient,8,2012-13
Montpellier HSC,9,2012-13
Toulouse FC,10,2012-13
Valenciennes FC,11,2012-13
Sporting Club Bastia,12,2012-13
Stade Rennais,13,2012-13
Stade de Reims,14,2012-13
AC Ajaccio,15,2012-13
FC Sochaux,16,2012-13
Évian Thonon Gaillard FC,17,2012-13
AS Nancy Lorraine,18,2012-13
ESTAC Troyes,19,2012-13
Stade Brestois 29,20,2012-13
Montpellier HSC,1,2011-12
Paris Saint-Germain,2,2011-12
Lille OSC,3,2011-12
Olympique Lyonnais,4,2011-12
FC Girondins de Bordeaux,5,2011-12
Stade Rennais,6,2011-12
AS Saint-Étienne,7,2011-12
Toulouse FC,8,2011-12
Évian Thonon Gaillard FC,9,2011-12
Olympique de Marseille,10,2011-12
AS Nancy Lorraine,11,2011-12
Valenciennes FC,12,2011-12
OGC Nice,13,2011-12
FC Sochaux,14,2011-12
Stade Brestois 29,15,2011-12
AC Ajaccio,16,2011-12
FC Lorient,17,2011-12
SM Caen,18,2011-12
Dijon FCO,19,2011-12
AJ Auxerre,20,2011-12
Lille OSC,1,2010-11
Olympique de Marseille,2,2010-11
Olympique Lyonnais,3,2010-11
Paris Saint-Germain,4,2010-11
FC Sochaux,5,2010-11
Stade Rennais,6,2010-11
FC Girondins de Bordeaux,7,2010-11
Toulouse FC,8,2010-11
AJ Auxerre,9,2010-11
AS Saint-Étienne,10,2010-11
FC Lorient,11,2010-11
Valenciennes FC,12,2010-11
AS Nancy Lorraine,13,2010-11
Montpellier HSC,14,2010-11
SM Caen,15,2010-11
Stade Brestois 29,16,2010-11
OGC Nice,17,2010-11
AS Monaco,18,2010-11
RC Lens,19,2010-11
AC Arles Avignon,20,2010-11
Olympique de Marseille,1,2009-10
Olympique Lyonnais,2,2009-10
AJ Auxerre,3,2009-10
Lille OSC,4,2009-10
Montpellier HSC,5,2009-10
FC Girondins de Bordeaux,6,2009-10
FC Lorient,7,2009-10
AS Monaco,8,2009-10
Stade Rennais,9,2009-10
Valenciennes FC,10,2009-10
RC Lens,11,2009-10
AS Nancy Lorraine,12,2009-10
Paris Saint-Germain,13,2009-10
Toulouse FC,14,2009-10
OGC Nice,15,2009-10
FC Sochaux,16,2009-10
AS Saint-Étienne,17,2009-10
Le Mans UC 72,18,2009-10
US Boulogne,19,2009-10
Grenoble Foot 38,20,2009-10
