team,pos,season
Bursaspor,1,2009-10
Fenerbahçe SK,2,2009-10
Galatasaray SK,3,2009-10
Beşiktaş JK,4,2009-10
Trabzonspor,5,2009-10
İstanbul Başakşehir FK,6,2009-10
Eskişehirspor,7,2009-10
Kayserispor,8,2009-10
Antalyaspor,9,2009-10
Gençlerbirliği SK,10,2009-10
MKE Ankaragücü,11,2009-10
Kasimpaşa SK,12,2009-10
Gaziantepspor,13,2009-10
Manisaspor,14,2009-10
Sivasspor,15,2009-10
Diyarbakirspor,16,2009-10
Denizlispor,17,2009-10
Osmanlıspor,18,2009-10
