team,pos,season
FC Girondins de Bordeaux,14,2018-19
Amiens SC,15,2018-19
AS Monaco,16,2018-19
Toulouse Football Club,17,2018-19
Dijon FCO,18,2018-19
Stade Malherbe Caen,19,2018-19
En Avant de Guingamp,20,2018-19
Paris Saint-Germain,1,2017-18
AS Monaco,2,2017-18
Olympique Lyonnais,3,2017-18
Olympique de Marseille,4,2017-18
Stade Rennais FC,5,2017-18
FC Girondins de Bordeaux,6,2017-18
AS Saint-Étienne,7,2017-18
OGC Nice,8,2017-18
FC Nantes,9,2017-18
Montpellier HSC,10,2017-18
Dijon FCO,11,2017-18
En Avant de Guingamp,12,2017-18
Amiens SC,13,2017-18
Angers SCO,14,2017-18
RC Strasbourg Alsace,15,2017-18
Stade Malherbe Caen,16,2017-18
LOSC Lille,17,2017-18
Toulouse Football Club,18,2017-18
ESTAC Troyes,19,2017-18
FC Metz,20,2017-18
AS Monaco,1,2016-17
Paris Saint-Germain,2,2016-17
OGC Nice,3,2016-17
Olympique Lyonnais,4,2016-17
Olympique de Marseille,5,2016-17
FC Girondins de Bordeaux,6,2016-17
FC Nantes,7,2016-17
AS Saint-Étienne,8,2016-17
Stade Rennais FC,9,2016-17
En Avant de Guingamp,10,2016-17
LOSC Lille,11,2016-17
Angers SCO,12,2016-17
Toulouse Football Club,13,2016-17
FC Metz,14,2016-17
Montpellier HSC,15,2016-17
Dijon FCO,16,2016-17
FC Lorient,17,2016-17
Stade Malherbe Caen,18,2016-17
AS Nancy Lorraine,19,2016-17
SC Bastia,20,2016-17
Paris Saint-Germain,1,2015-16
Olympique Lyonnais,2,2015-16
AS Monaco,3,2015-16
OGC Nice,4,2015-16
LOSC Lille,5,2015-16
AS Saint-Étienne,6,2015-16
Stade Malherbe Caen,7,2015-16
Stade Rennais FC,8,2015-16
Angers SCO,9,2015-16
SC Bastia,10,2015-16
FC Girondins de Bordeaux,11,2015-16
Montpellier HSC,12,2015-16
Olympique de Marseille,13,2015-16
FC Nantes,14,2015-16
FC Lorient,15,2015-16
En Avant de Guingamp,16,2015-16
Toulouse Football Club,17,2015-16
Stade de Reims,18,2015-16
GFC Ajaccio,19,2015-16
ESTAC Troyes,20,2015-16
SC Bastia,1,2014-15
AS Monaco,2,2014-15
Montpellier HSC,3,2014-15
FC Nantes,4,2014-15
OGC Nice,5,2014-15
Paris Saint-Germain,6,2014-15
Stade de Reims,7,2014-15
Stade Rennais FC,8,2014-15
AS Saint-Étienne,9,2014-15
FC Metz,10,2014-15
Olympique de Marseille,11,2014-15
FC Girondins de Bordeaux,12,2014-15
Stade Malherbe Caen,13,2014-15
Evian TG,14,2014-15
En Avant de Guingamp,15,2014-15
Racing Club de Lens,16,2014-15
LOSC Lille,17,2014-15
FC Lorient,18,2014-15
Olympique Lyonnais,19,2014-15
Toulouse Football Club,20,2014-15
Paris Saint-Germain,1,2013-14
AS Monaco,2,2013-14
LOSC Lille,3,2013-14
AS Saint-Étienne,4,2013-14
Olympique Lyonnais,5,2013-14
Olympique de Marseille,6,2013-14
FC Girondins de Bordeaux,7,2013-14
FC Nantes,8,2013-14
FC Lorient,9,2013-14
Toulouse Football Club,10,2013-14
Stade de Reims,11,2013-14
Stade Rennais FC,12,2013-14
SC Bastia,13,2013-14
Evian TG,14,2013-14
Montpellier HSC,15,2013-14
En Avant de Guingamp,16,2013-14
OGC Nice,17,2013-14
Sochaux,18,2013-14
Valenciennes,19,2013-14
AC Ajaccio,20,2013-14
Paris Saint-Germain,1,2012-13
Olympique de Marseille,2,2012-13
Olympique Lyonnais,3,2012-13
OGC Nice,4,2012-13
AS Saint-Étienne,5,2012-13
LOSC Lille,6,2012-13
FC Girondins de Bordeaux,7,2012-13
FC Lorient,8,2012-13
Montpellier HSC,9,2012-13
Toulouse Football Club,10,2012-13
Valenciennes,11,2012-13
SC Bastia,12,2012-13
Stade Rennais FC,13,2012-13
Stade de Reims,14,2012-13
AC Ajaccio,15,2012-13
Sochaux,16,2012-13
Evian TG,17,2012-13
AS Nancy Lorraine,18,2012-13
ESTAC Troyes,19,2012-13
Stade Brestois 29,20,2012-13
Montpellier HSC,1,2011-12
Paris Saint-Germain,2,2011-12
LOSC Lille,3,2011-12
Olympique Lyonnais,4,2011-12
FC Girondins de Bordeaux,5,2011-12
Stade Rennais FC,6,2011-12
AS Saint-Étienne,7,2011-12
Toulouse Football Club,8,2011-12
Evian TG,9,2011-12
Olympique de Marseille,10,2011-12
AS Nancy Lorraine,11,2011-12
Valenciennes,12,2011-12
OGC Nice,13,2011-12
Sochaux,14,2011-12
Stade Brestois 29,15,2011-12
AC Ajaccio,16,2011-12
FC Lorient,17,2011-12
Stade Malherbe Caen,18,2011-12
Dijon FCO,19,2011-12
AJ Auxerre,20,2011-12
LOSC Lille,1,2010-11
Olympique de Marseille,2,2010-11
Olympique Lyonnais,3,2010-11
Paris Saint-Germain,4,2010-11
Sochaux,5,2010-11
Stade Rennais FC,6,2010-11
FC Girondins de Bordeaux,7,2010-11
Toulouse Football Club,8,2010-11
AJ Auxerre,9,2010-11
AS Saint-Étienne,10,2010-11
FC Lorient,11,2010-11
Valenciennes,12,2010-11
AS Nancy Lorraine,13,2010-11
Montpellier HSC,14,2010-11
Stade Malherbe Caen,15,2010-11
Stade Brestois 29,16,2010-11
OGC Nice,17,2010-11
AS Monaco,18,2010-11
Racing Club de Lens,19,2010-11
Arles,20,2010-11
Olympique de Marseille,1,2009-10
Olympique Lyonnais,2,2009-10
AJ Auxerre,3,2009-10
LOSC Lille,4,2009-10
Montpellier HSC,5,2009-10
FC Girondins de Bordeaux,6,2009-10
FC Lorient,7,2009-10
AS Monaco,8,2009-10
Stade Rennais FC,9,2009-10
Valenciennes,10,2009-10
Racing Club de Lens,11,2009-10
AS Nancy Lorraine,12,2009-10
Paris Saint-Germain,13,2009-10
Toulouse Football Club,14,2009-10
OGC Nice,15,2009-10
Sochaux,16,2009-10
AS Saint-Étienne,17,2009-10
Le Mans FC,18,2009-10
US Boulogne Cote D'Opale,19,2009-10
Grenoble Foot 38,20,2009-10
