team,pos,season
Jagiellonia Białystok,2,2017-18
Lech Poznań,3,2017-18
Gornik Zabrze,4,2017-18
Wisła Płock,5,2017-18
Wisła Kraków,6,2017-18
Zagłębie Lubin,7,2017-18
Cracovia Kraków,8,2017-18
Śląsk Wrocław,9,2017-18
Korona Kielce,10,2017-18
Pogoń Szczecin,11,2017-18
MZKS Arka Gdynia,12,2017-18
Lechia Gdańsk,13,2017-18
Piast Gliwice,14,2017-18
Termalica Nieciecza,15,2017-18
Sandecja Nowy Sącz,16,2017-18
Legia Warszawa,1,2016-17
Jagiellonia Białystok,2,2016-17
Lech Poznań,3,2016-17
Lechia Gdańsk,4,2016-17
Zagłębie Lubin,5,2016-17
Wisła Kraków,6,2016-17
Korona Kielce,7,2016-17
Pogoń Szczecin,8,2016-17
Śląsk Wrocław,9,2016-17
Wisła Płock,10,2016-17
Piast Gliwice,11,2016-17
Termalica Nieciecza,12,2016-17
Cracovia Kraków,13,2016-17
MZKS Arka Gdynia,14,2016-17
Gornik Leczna,15,2016-17
Ruch Chorzów,16,2016-17
Legia Warszawa,1,2015-16
Piast Gliwice,2,2015-16
Zagłębie Lubin,3,2015-16
Cracovia Kraków,4,2015-16
Pogoń Szczecin,5,2015-16
Lechia Gdańsk,6,2015-16
Wisła Kraków,7,2015-16
Lech Poznań,8,2015-16
Śląsk Wrocław,9,2015-16
Korona Kielce,10,2015-16
Jagiellonia Białystok,11,2015-16
Termalica Nieciecza,12,2015-16
Ruch Chorzów,13,2015-16
Gornik Leczna,14,2015-16
Podbeskidzie Bielsko-Biala,15,2015-16
Gornik Zabrze,16,2015-16
Bełchatów,1,2014-15
Wisła Kraków,2,2014-15
Śląsk Wrocław,3,2014-15
Ruch Chorzów,4,2014-15
Pogoń Szczecin,5,2014-15
Podbeskidzie Bielsko-Biala,6,2014-15
Piast Gliwice,7,2014-15
Legia Warszawa,8,2014-15
Lechia Gdańsk,9,2014-15
Lech Poznań,10,2014-15
Korona Kielce,11,2014-15
Jagiellonia Białystok,12,2014-15
Gornik Zabrze,13,2014-15
Gornik Leczna,14,2014-15
Cracovia Kraków,15,2014-15
Zawisza Bydgoszcz,16,2014-15
Legia Warszawa,1,2013-14
Lech Poznań,2,2013-14
Ruch Chorzów,3,2013-14
Wisła Kraków,4,2013-14
Lechia Gdańsk,5,2013-14
Pogoń Szczecin,6,2013-14
Gornik Zabrze,7,2013-14
Śląsk Wrocław,8,2013-14
Jagiellonia Białystok,9,2013-14
Zawisza Bydgoszcz,10,2013-14
Korona Kielce,11,2013-14
Cracovia Kraków,12,2013-14
Podbeskidzie Bielsko-Biala,13,2013-14
Piast Gliwice,14,2013-14
Zagłębie Lubin,15,2013-14
Widzew Łódz,16,2013-14
Legia Warszawa,1,2012-13
Lech Poznań,2,2012-13
Śląsk Wrocław,3,2012-13
Piast Gliwice,4,2012-13
Gornik Zabrze,5,2012-13
Polonia Warszawa,6,2012-13
Zagłębie Lubin,7,2012-13
Lechia Gdańsk,8,2012-13
Wisła Kraków,9,2012-13
Jagiellonia Białystok,10,2012-13
Korona Kielce,11,2012-13
Pogoń Szczecin,12,2012-13
Widzew Łódz,13,2012-13
Podbeskidzie Bielsko-Biala,14,2012-13
Ruch Chorzów,15,2012-13
Bełchatów,16,2012-13
Śląsk Wrocław,1,2011-12
Ruch Chorzów,2,2011-12
Legia Warszawa,3,2011-12
Lech Poznań,4,2011-12
Korona Kielce,5,2011-12
Polonia Warszawa,6,2011-12
Wisła Kraków,7,2011-12
Gornik Zabrze,8,2011-12
Zagłębie Lubin,9,2011-12
Widzew Łódz,10,2011-12
Jagiellonia Białystok,11,2011-12
Podbeskidzie Bielsko-Biala,12,2011-12
Bełchatów,13,2011-12
Lechia Gdańsk,14,2011-12
Łódzki KS,15,2011-12
Cracovia Kraków,16,2011-12
Wisła Kraków,1,2010-11
Śląsk Wrocław,2,2010-11
Legia Warszawa,3,2010-11
Jagiellonia Białystok,4,2010-11
Lech Poznań,5,2010-11
Gornik Zabrze,6,2010-11
Polonia Warszawa,7,2010-11
Widzew Łódz,8,2010-11
Lechia Gdańsk,9,2010-11
Bełchatów,10,2010-11
Zagłębie Lubin,11,2010-11
Ruch Chorzów,12,2010-11
Korona Kielce,13,2010-11
Cracovia Kraków,14,2010-11
MZKS Arka Gdynia,15,2010-11
Polonia Bytom,16,2010-11
Lech Poznań,1,2009-10
Wisła Kraków,2,2009-10
Ruch Chorzów,3,2009-10
Legia Warszawa,4,2009-10
Bełchatów,5,2009-10
Jagiellonia Białystok,6,2009-10
Lechia Gdańsk,7,2009-10
Polonia Bytom,8,2009-10
Korona Kielce,9,2009-10
Śląsk Wrocław,10,2009-10
Zagłębie Lubin,11,2009-10
Cracovia Kraków,12,2009-10
Polonia Warszawa,13,2009-10
MZKS Arka Gdynia,14,2009-10
Odra Wodzisław,15,2009-10
Piast Gliwice,16,2009-10
