team,pos,season
Krylya Sovetov Samara,14,2016-17
Arsenal Tula,15,2016-17
Tom' Tomsk,16,2016-17
PFC CSKA Moscow,1,2015-16
FC Rostov,2,2015-16
Zenit St. Petersburg,3,2015-16
FC Krasnodar,4,2015-16
FC Lokomotiv Moscow,5,2015-16
Spartak Moskva,6,2015-16
Terek Grozny,7,2015-16
FC Ural Yekaterinburg,8,2015-16
Krylya Sovetov Samara,9,2015-16
Rubin Kazan,10,2015-16
Amkar Perm',11,2015-16
FC Ufa,12,2015-16
Kuban' Krasnodar,13,2015-16
FC Anzhi Makhachkala,14,2015-16
Dinamo Moscow,15,2015-16
Mordovia Saransk,16,2015-16
Dinamo Moscow,1,2014-15
FC Rostov,2,2014-15
Arsenal Tula,3,2014-15
Amkar Perm',4,2014-15
FC Torpedo Moscow,5,2014-15
FC Ufa,6,2014-15
FC Ural Yekaterinburg,7,2014-15
FC Lokomotiv Moscow,8,2014-15
FC Krasnodar,9,2014-15
Mordovia Saransk,10,2014-15
Kuban' Krasnodar,11,2014-15
PFC CSKA Moscow,12,2014-15
Zenit St. Petersburg,13,2014-15
Terek Grozny,14,2014-15
Spartak Moskva,15,2014-15
Rubin Kazan,16,2014-15
PFC CSKA Moscow,1,2013-14
Zenit St. Petersburg,2,2013-14
FC Lokomotiv Moscow,3,2013-14
Spartak Moskva,4,2013-14
FC Krasnodar,5,2013-14
Dinamo Moscow,6,2013-14
FC Rostov,7,2013-14
Rubin Kazan,8,2013-14
Amkar Perm',9,2013-14
Kuban' Krasnodar,10,2013-14
FC Ural Yekaterinburg,11,2013-14
Terek Grozny,12,2013-14
Tom' Tomsk,13,2013-14
Krylya Sovetov Samara,14,2013-14
Volga Nyzhnyi,15,2013-14
FC Anzhi Makhachkala,16,2013-14
PFC CSKA Moscow,1,2012-13
Zenit St. Petersburg,2,2012-13
FC Anzhi Makhachkala,3,2012-13
Kuban' Krasnodar,4,2012-13
Spartak Moskva,5,2012-13
Rubin Kazan,6,2012-13
Terek Grozny,7,2012-13
Dinamo Moscow,8,2012-13
FC Lokomotiv Moscow,9,2012-13
FC Krasnodar,10,2012-13
FC Rostov,11,2012-13
Amkar Perm',12,2012-13
Volga Nyzhnyi,13,2012-13
Krylya Sovetov Samara,14,2012-13
Mordovia Saransk,15,2012-13
Alaniya,16,2012-13
Zenit St. Petersburg,1,2011-12
Spartak Moskva,2,2011-12
Dinamo Moscow,3,2011-12
PFC CSKA Moscow,4,2011-12
FC Anzhi Makhachkala,5,2011-12
Rubin Kazan,6,2011-12
FC Lokomotiv Moscow,7,2011-12
Kuban' Krasnodar,8,2011-12
FC Krasnodar,9,2011-12
Amkar Perm',10,2011-12
Terek Grozny,11,2011-12
Krylya Sovetov Samara,12,2011-12
FC Rostov,13,2011-12
Volga Nyzhnyi,14,2011-12
Tom' Tomsk,15,2011-12
Spartak Nal'chik,16,2011-12
Zenit St. Petersburg,1,2010-10
PFC CSKA Moscow,2,2010-10
Rubin Kazan,3,2010-10
Spartak Moskva,4,2010-10
FC Lokomotiv Moscow,5,2010-10
Spartak Nal'chik,6,2010-10
Dinamo Moscow,7,2010-10
Tom' Tomsk,8,2010-10
Saturn,9,2010-10
FC Rostov,10,2010-10
Terek Grozny,11,2010-10
FC Anzhi Makhachkala,12,2010-10
Krylya Sovetov Samara,13,2010-10
Amkar Perm',14,2010-10
Alaniya,15,2010-10
Sibir Novosibirsk,16,2010-10
Rubin Kazan,1,2009-09
Spartak Moskva,2,2009-09
Zenit St. Petersburg,3,2009-09
FC Lokomotiv Moscow,4,2009-09
PFC CSKA Moscow,5,2009-09
Moskva,6,2009-09
Saturn,7,2009-09
Dinamo Moscow,8,2009-09
Tom' Tomsk,9,2009-09
Krylya Sovetov Samara,10,2009-09
Spartak Nal'chik,11,2009-09
Amkar Perm',12,2009-09
Terek Grozny,13,2009-09
FC Rostov,14,2009-09
Kuban' Krasnodar,15,2009-09
Khimki,16,2009-09
