team,pos,season
Sirius,13,2018-19
Brommapojkarna,14,2018-19
Dalkurd FF,15,2018-19
Trelleborgs FF,16,2018-19
Malmo FF,1,2017-18
AIK,2,2017-18
Djurgardens IF,3,2017-18
BK Hacken,4,2017-18
Östersunds FK,5,2017-18
IFK Norrkoping,6,2017-18
Sirius,7,2017-18
Elfsborg,8,2017-18
Hammarby,9,2017-18
IFK,10,2017-18
Orebro SK,11,2017-18
Kalmar FF,12,2017-18
GIF Sundsvall,13,2017-18
Jonkopings Sodra,14,2017-18
Halmstads BK,15,2017-18
AFC Eskilstuna,16,2017-18
Malmo FF,1,2016-17
AIK,2,2016-17
IFK Norrkoping,3,2016-17
IFK,4,2016-17
Elfsborg,5,2016-17
Kalmar FF,6,2016-17
Djurgardens IF,7,2016-17
Östersunds FK,8,2016-17
Orebro SK,9,2016-17
BK Hacken,10,2016-17
Hammarby,11,2016-17
Jonkopings Sodra,12,2016-17
GIF Sundsvall,13,2016-17
Helsingborg,14,2016-17
Gefle IF,15,2016-17
Falkenbergs FF,16,2016-17
IFK Norrkoping,1,2015-16
IFK,2,2015-16
AIK,3,2015-16
Elfsborg,4,2015-16
Malmo FF,5,2015-16
Djurgardens IF,6,2015-16
BK Hacken,7,2015-16
Helsingborg,8,2015-16
Orebro SK,9,2015-16
Gefle IF,10,2015-16
Hammarby,11,2015-16
GIF Sundsvall,12,2015-16
Kalmar FF,13,2015-16
Falkenbergs FF,14,2015-16
Halmstad,15,2015-16
Atvidabergs FF,16,2015-16
Malmo FF,1,2014-15
IFK,2,2014-15
AIK,3,2014-15
Elfsborg,4,2014-15
BK Hacken,5,2014-15
Orebro SK,6,2014-15
Djurgardens IF,7,2014-15
Atvidabergs FF,8,2014-15
Helsingborg,9,2014-15
Halmstad,10,2014-15
Kalmar FF,11,2014-15
IFK Norrkoping,12,2014-15
Falkenbergs FF,13,2014-15
Gefle IF,14,2014-15
Mjallby,15,2014-15
Brommapojkarna,16,2014-15
Malmo FF,1,2013-14
AIK,2,2013-14
IFK,3,2013-14
Kalmar FF,4,2013-14
Helsingborg,5,2013-14
Elfsborg,6,2013-14
Djurgardens IF,7,2013-14
Atvidabergs FF,8,2013-14
IFK Norrkoping,9,2013-14
BK Hacken,10,2013-14
Mjallby,11,2013-14
Gefle IF,12,2013-14
Brommapojkarna,13,2013-14
Halmstad,14,2013-14
Östers IF,15,2013-14
Syrianska FC,16,2013-14
Elfsborg,1,2012-13
BK Hacken,2,2012-13
Malmo FF,3,2012-13
AIK,4,2012-13
IFK Norrkoping,5,2012-13
Helsingborg,6,2012-13
IFK,7,2012-13
Atvidabergs FF,8,2012-13
Djurgardens IF,9,2012-13
Kalmar FF,10,2012-13
Gefle IF,11,2012-13
Mjallby,12,2012-13
Syrianska FC,13,2012-13
GIF Sundsvall,14,2012-13
Orebro SK,15,2012-13
GAIS,16,2012-13
Helsingborg,1,2011-12
AIK,2,2011-12
Elfsborg,3,2011-12
Malmo FF,4,2011-12
GAIS,5,2011-12
BK Hacken,6,2011-12
IFK,7,2011-12
Kalmar FF,8,2011-12
Gefle IF,9,2011-12
Mjallby,10,2011-12
Djurgardens IF,11,2011-12
Orebro SK,12,2011-12
IFK Norrkoping,13,2011-12
Syrianska FC,14,2011-12
Trelleborgs FF,15,2011-12
Halmstad,16,2011-12
Malmo FF,1,2010-11
Helsingborg,2,2010-11
Orebro SK,3,2010-11
Elfsborg,4,2010-11
Trelleborgs FF,5,2010-11
Mjallby,6,2010-11
IFK,7,2010-11
BK Hacken,8,2010-11
Kalmar FF,9,2010-11
Djurgardens IF,10,2010-11
AIK,11,2010-11
Halmstad,12,2010-11
GAIS,13,2010-11
Gefle IF,14,2010-11
Atvidabergs FF,15,2010-11
Brommapojkarna,16,2010-11
AIK,1,2009-10
IFK,2,2009-10
Elfsborg,3,2009-10
Kalmar FF,4,2009-10
BK Hacken,5,2009-10
Orebro SK,6,2009-10
Malmo FF,7,2009-10
Helsingborg,8,2009-10
Trelleborgs FF,9,2009-10
Gefle IF,10,2009-10
GAIS,11,2009-10
Brommapojkarna,12,2009-10
Halmstad,13,2009-10
Djurgardens IF,14,2009-10
Orgryte IS,15,2009-10
Hammarby,16,2009-10
Kalmar FF,1,2008-09
Elfsborg,2,2008-09
IFK,3,2008-09
Helsingborg,4,2008-09
AIK,5,2008-09
Malmo FF,6,2008-09
Orebro SK,7,2008-09
Halmstad,8,2008-09
Hammarby,9,2008-09
Trelleborgs FF,10,2008-09
GAIS,11,2008-09
Djurgardens IF,12,2008-09
Gefle IF,13,2008-09
Ljungskile,14,2008-09
GIF Sundsvall,15,2008-09
IFK Norrkoping,16,2008-09
