team,pos,season
FC Augsburg,7,2006-07
TSV 1860 München,8,2006-07
1. FC Köln,9,2006-07
FC Erzgebirge Aue,10,2006-07
SC Paderborn 07,11,2006-07
TUS Koblenz,12,2006-07
FC Carl Zeiss Jena,13,2006-07
Kickers Offenbach,14,2006-07
SC Rot-Weiß Essen,15,2006-07
SpVgg Unterhaching,16,2006-07
SV Wacker Burghausen,17,2006-07
Eintracht Braunschweig,18,2006-07
