team,pos,season
Jeonbuk Hyundai Motors,1,2017-17
Jeju United FC,2,2017-17
Suwon Samsung Bluewings,3,2017-17
Ulsan Hyundai FC,4,2017-17
FC Seoul,5,2017-17
Pohang Steelers,6,2017-17
Gangwon FC,7,2017-17
Daegu FC,8,2017-17
Incheon United FC,9,2017-17
Jeonnam Dragons,10,2017-17
Sangju Sangmu FC,11,2017-17
GwangJu FC,12,2017-17
Jeonbuk Hyundai Motors,1,2016-16
FC Seoul,2,2016-16
Jeju United FC,3,2016-16
Suwon FC,4,2016-16
Ulsan Hyundai FC,5,2016-16
GwangJu FC,6,2016-16
Jeonnam Dragons,7,2016-16
Pohang Steelers,8,2016-16
Seongnam FC,9,2016-16
Incheon United FC,10,2016-16
Sangju Sangmu FC,11,2016-16
Jeonbuk Hyundai Motors,1,2015-15
Suwon Samsung Bluewings,2,2015-15
Pohang Steelers,3,2015-15
FC Seoul,4,2015-15
Seongnam FC,5,2015-15
Ulsan Hyundai FC,6,2015-15
Incheon United FC,7,2015-15
Jeju United FC,8,2015-15
Jeonnam Dragons,9,2015-15
GwangJu FC,10,2015-15
Busan IPark,11,2015-15
Daejeon Citizen,12,2015-15
Jeonbuk Hyundai Motors,1,2014-14
Suwon Samsung Bluewings,2,2014-14
FC Seoul,3,2014-14
Pohang Steelers,4,2014-14
Jeju United FC,5,2014-14
Jeonnam Dragons,6,2014-14
Ulsan Hyundai FC,7,2014-14
Busan IPark,8,2014-14
Seongnam FC,9,2014-14
Incheon United FC,10,2014-14
Gyeongnam FC,11,2014-14
Sangju Sangmu FC,12,2014-14
Pohang Steelers,1,2013-13
Ulsan Hyundai FC,2,2013-13
Jeonbuk Hyundai Motors,3,2013-13
FC Seoul,4,2013-13
Seongnam FC,5,2013-13
Jeju United FC,6,2013-13
Suwon Samsung Bluewings,7,2013-13
Busan IPark,8,2013-13
Incheon United FC,9,2013-13
Jeonnam Dragons,10,2013-13
Gyeongnam FC,11,2013-13
Gangwon FC,12,2013-13
Daegu FC,13,2013-13
Daejeon Citizen,14,2013-13
FC Seoul,1,2012-12
Jeonbuk Hyundai Motors,2,2012-12
Pohang Steelers,3,2012-12
Suwon Samsung Bluewings,4,2012-12
Ulsan Hyundai FC,5,2012-12
Incheon United FC,6,2012-12
Jeju United FC,7,2012-12
Daegu FC,8,2012-12
Busan IPark,9,2012-12
Jeonnam Dragons,10,2012-12
Gyeongnam FC,11,2012-12
Daejeon Citizen,12,2012-12
Seongnam FC,13,2012-12
Gangwon FC,14,2012-12
GwangJu FC,15,2012-12
Sangju Sangmu FC,16,2012-12
Jeonbuk Hyundai Motors,1,2011-11
Pohang Steelers,2,2011-11
FC Seoul,3,2011-11
Suwon Samsung Bluewings,4,2011-11
Busan IPark,5,2011-11
Ulsan Hyundai FC,6,2011-11
Gyeongnam FC,7,2011-11
Jeonnam Dragons,8,2011-11
Jeju United FC,9,2011-11
Seongnam FC,10,2011-11
GwangJu FC,11,2011-11
Daegu FC,12,2011-11
Incheon United FC,13,2011-11
Sangju Sangmu FC,14,2011-11
Daejeon Citizen,15,2011-11
Gangwon FC,16,2011-11
FC Seoul,1,2010-10
Jeju United FC,2,2010-10
Jeonbuk Hyundai Motors,3,2010-10
Seongnam FC,4,2010-10
Ulsan Hyundai FC,5,2010-10
Gyeongnam FC,6,2010-10
Suwon Samsung Bluewings,7,2010-10
Busan IPark,8,2010-10
Pohang Steelers,9,2010-10
Jeonnam Dragons,10,2010-10
Incheon United FC,11,2010-10
Gangwon FC,12,2010-10
Daejeon Citizen,13,2010-10
Sangju Sangmu FC,14,2010-10
Daegu FC,15,2010-10
Jeonbuk Hyundai Motors,1,2009-09
Pohang Steelers,2,2009-09
FC Seoul,3,2009-09
Seongnam FC,4,2009-09
Incheon United FC,5,2009-09
Jeonnam Dragons,6,2009-09
Gyeongnam FC,7,2009-09
Ulsan Hyundai FC,8,2009-09
Daejeon Citizen,9,2009-09
Suwon Samsung Bluewings,10,2009-09
Sangju Sangmu FC,11,2009-09
Busan IPark,12,2009-09
Gangwon FC,13,2009-09
Jeju United FC,14,2009-09
Daegu FC,15,2009-09
