team,pos,season
Os Belenenses,9,2018-19
Santa Clara,10,2018-19
Portimonense SC,11,2018-19
Clube Sport Marítimo,12,2018-19
Desportivo das Aves,13,2018-19
Vitória de Setúbal,14,2018-19
CD Tondela,15,2018-19
GD Chaves,16,2018-19
CD Nacional,17,2018-19
CD Feirense,18,2018-19
FC Porto,1,2017-18
SL Benfica,2,2017-18
Sporting CP,3,2017-18
SC Braga,4,2017-18
Rio Ave FC,5,2017-18
GD Chaves,6,2017-18
Clube Sport Marítimo,7,2017-18
Boavista FC,8,2017-18
Vitória Guimarães,9,2017-18
Portimonense SC,10,2017-18
CD Tondela,11,2017-18
Os Belenenses,12,2017-18
Desportivo das Aves,13,2017-18
Moreirense FC,14,2017-18
Vitória de Setúbal,15,2017-18
CD Feirense,16,2017-18
FC Paços de Ferreira,17,2017-18
Estoril Praia,18,2017-18
SL Benfica,1,2016-17
FC Porto,2,2016-17
Sporting CP,3,2016-17
Vitória Guimarães,4,2016-17
SC Braga,5,2016-17
Clube Sport Marítimo,6,2016-17
Rio Ave FC,7,2016-17
CD Feirense,8,2016-17
Boavista FC,9,2016-17
Estoril Praia,10,2016-17
GD Chaves,11,2016-17
Vitória de Setúbal,12,2016-17
FC Paços de Ferreira,13,2016-17
Os Belenenses,14,2016-17
Moreirense FC,15,2016-17
CD Tondela,16,2016-17
FC Arouca,17,2016-17
CD Nacional,18,2016-17
SL Benfica,1,2015-16
Sporting CP,2,2015-16
FC Porto,3,2015-16
SC Braga,4,2015-16
FC Arouca,5,2015-16
Rio Ave FC,6,2015-16
FC Paços de Ferreira,7,2015-16
Estoril Praia,8,2015-16
Os Belenenses,9,2015-16
Vitória Guimarães,10,2015-16
Moreirense FC,11,2015-16
CD Nacional,12,2015-16
Clube Sport Marítimo,13,2015-16
Boavista FC,14,2015-16
CD Tondela,15,2015-16
Vitória de Setúbal,16,2015-16
Uniao da Madeira,17,2015-16
Académica,18,2015-16
Académica,1,2014-15
Vitória Guimarães,2,2014-15
Sporting CP,3,2014-15
Rio Ave FC,4,2014-15
Penafiel,5,2014-15
FC Paços de Ferreira,6,2014-15
CD Nacional,7,2014-15
Moreirense FC,8,2014-15
Clube Sport Marítimo,9,2014-15
Gil Vicente FC,10,2014-15
FC Porto,11,2014-15
Estoril Praia,12,2014-15
SC Braga,13,2014-15
Boavista FC,14,2014-15
SL Benfica,15,2014-15
Os Belenenses,16,2014-15
FC Arouca,17,2014-15
Vitória de Setúbal,18,2014-15
SL Benfica,1,2013-14
Sporting CP,2,2013-14
FC Porto,3,2013-14
Estoril Praia,4,2013-14
CD Nacional,5,2013-14
Clube Sport Marítimo,6,2013-14
Vitória de Setúbal,7,2013-14
SC Braga,8,2013-14
Académica,9,2013-14
Vitória Guimarães,10,2013-14
Rio Ave FC,11,2013-14
FC Arouca,12,2013-14
Gil Vicente FC,13,2013-14
Os Belenenses,14,2013-14
Olhanense,15,2013-14
FC Paços de Ferreira,16,2013-14
FC Porto,1,2012-13
SL Benfica,2,2012-13
FC Paços de Ferreira,3,2012-13
SC Braga,4,2012-13
Estoril Praia,5,2012-13
Sporting CP,6,2012-13
Rio Ave FC,7,2012-13
CD Nacional,8,2012-13
Vitória Guimarães,9,2012-13
Clube Sport Marítimo,10,2012-13
Académica,11,2012-13
Vitória de Setúbal,12,2012-13
Olhanense,13,2012-13
Gil Vicente FC,14,2012-13
Moreirense FC,15,2012-13
Beira-Mar,16,2012-13
FC Porto,1,2011-12
SL Benfica,2,2011-12
SC Braga,3,2011-12
Sporting CP,4,2011-12
Clube Sport Marítimo,5,2011-12
Vitória Guimarães,6,2011-12
CD Nacional,7,2011-12
Olhanense,8,2011-12
Gil Vicente FC,9,2011-12
FC Paços de Ferreira,10,2011-12
Vitória de Setúbal,11,2011-12
Académica,12,2011-12
Beira-Mar,13,2011-12
Rio Ave FC,14,2011-12
CD Feirense,15,2011-12
União de Leiria,16,2011-12
FC Porto,1,2010-11
SL Benfica,2,2010-11
Sporting CP,3,2010-11
SC Braga,4,2010-11
Vitória Guimarães,5,2010-11
CD Nacional,6,2010-11
FC Paços de Ferreira,7,2010-11
Rio Ave FC,8,2010-11
Clube Sport Marítimo,9,2010-11
União de Leiria,10,2010-11
Olhanense,11,2010-11
Vitória de Setúbal,12,2010-11
Beira-Mar,13,2010-11
Académica,14,2010-11
Portimonense SC,15,2010-11
Naval 1º de Maio,16,2010-11
SL Benfica,1,2009-10
SC Braga,2,2009-10
FC Porto,3,2009-10
Sporting CP,4,2009-10
Clube Sport Marítimo,5,2009-10
Vitória Guimarães,6,2009-10
CD Nacional,7,2009-10
Naval 1º de Maio,8,2009-10
FC Paços de Ferreira,9,2009-10
União de Leiria,10,2009-10
Académica,11,2009-10
Rio Ave FC,12,2009-10
Olhanense,13,2009-10
Vitória de Setúbal,14,2009-10
Os Belenenses,15,2009-10
Leixões,16,2009-10
