team,pos,season
Lillestrøm SK,8,2015-16
FK Bodø/Glimt,9,2015-16
Aalesunds FK,10,2015-16
Sarpsborg 08 FF,11,2015-16
FK Haugesund,12,2015-16
Tromsø IL,13,2015-16
IK Start,14,2015-16
Mjøndalen IF,15,2015-16
Sandefjord Fotball,16,2015-16
Strømsgodset IF,1,2013-14
Rosenborg BK,2,2013-14
FK Haugesund,3,2013-14
Aalesunds FK,4,2013-14
Viking FK,5,2013-14
Molde FK,6,2013-14
Odds BK,7,2013-14
SK Brann,8,2013-14
IK Start,9,2013-14
Lillestrøm SK,10,2013-14
Vålerenga Fotball,11,2013-14
Sogndal Fotball,12,2013-14
Sandnes Ulf,13,2013-14
Sarpsborg 08 FF,14,2013-14
Tromsø IL,15,2013-14
Honefoss,16,2013-14
Molde FK,1,2012-13
Strømsgodset IF,2,2012-13
Rosenborg BK,3,2012-13
Tromsø IL,4,2012-13
Viking FK,5,2012-13
SK Brann,6,2012-13
FK Haugesund,7,2012-13
Vålerenga Fotball,8,2012-13
Odds BK,9,2012-13
Lillestrøm SK,10,2012-13
Aalesunds FK,11,2012-13
Sogndal Fotball,12,2012-13
Honefoss,13,2012-13
Sandnes Ulf,14,2012-13
Fredrikstad,15,2012-13
Stabæk Fotball,16,2012-13
Odds BK,1,2011-12
Rosenborg BK,2,2011-12
Molde FK,3,2011-12
Vålerenga Fotball,4,2011-12
FK Haugesund,5,2011-12
Tromsø IL,6,2011-12
Viking FK,7,2011-12
Sogndal Fotball,8,2011-12
SK Brann,9,2011-12
Strømsgodset IF,10,2011-12
Aalesunds FK,11,2011-12
Stabæk Fotball,12,2011-12
Fredrikstad,13,2011-12
Lillestrøm SK,14,2011-12
IK Start,15,2011-12
Sarpsborg 08 FF,16,2011-12
Rosenborg BK,1,2010-11
Vålerenga Fotball,2,2010-11
Tromsø IL,3,2010-11
Aalesunds FK,4,2010-11
Odds BK,5,2010-11
FK Haugesund,6,2010-11
Strømsgodset IF,7,2010-11
IK Start,8,2010-11
Viking FK,9,2010-11
Lillestrøm SK,10,2010-11
Molde FK,11,2010-11
Stabæk Fotball,12,2010-11
SK Brann,13,2010-11
Honefoss,14,2010-11
Kongsvinger,15,2010-11
Sandefjord Fotball,16,2010-11
Stabæk Fotball,1,2008-09
Fredrikstad,2,2008-09
Tromsø IL,3,2008-09
Lyn Oslo,4,2008-09
SK Brann,5,2008-09
Vålerenga Fotball,6,2008-09
FK Bodø/Glimt,7,2008-09
Rosenborg BK,8,2008-09
Molde FK,9,2008-09
Viking FK,10,2008-09
Strømsgodset IF,11,2008-09
Aalesunds FK,12,2008-09
Lillestrøm SK,13,2008-09
Ham-Kam,14,2008-09
