season,home_team_goal,away_team_goal,home_name,away_name
2008/2009,1,0,SV Zulte-Waregem,FCV Dender EH
2008/2009,2,1,Sporting Lokeren,KSV Roeselare
2008/2009,1,1,RAEC Mons,KV Kortrijk
2008/2009,4,0,Standard de Liège,Tubize
2008/2009,0,0,Royal Excel Mouscron,KVC Westerlo
2008/2009,1,1,KVC Westerlo,Club Brugge KV
2008/2009,4,2,RSC Anderlecht,Standard de Liège
2008/2009,3,2,KSV Roeselare,RAEC Mons
2008/2009,0,6,Tubize,SV Zulte-Waregem
2008/2009,1,1,KV Kortrijk,Sporting Charleroi
2008/2009,0,0,KSV Cercle Brugge,Sporting Lokeren
2008/2009,1,2,FCV Dender EH,KV Mechelen
2008/2009,1,1,KRC Genk,Royal Excel Mouscron
2008/2009,1,3,KAA Gent,Beerschot AC
2008/2009,1,1,Royal Excel Mouscron,RSC Anderlecht
2008/2009,2,1,KV Mechelen,KRC Genk
2008/2009,3,0,Sporting Charleroi,RAEC Mons
2008/2009,4,0,Standard de Liège,KSV Cercle Brugge
2008/2009,0,1,Sporting Lokeren,KAA Gent
2008/2009,2,1,Club Brugge KV,KSV Roeselare
2008/2009,3,0,Beerschot AC,KV Kortrijk
2008/2009,4,0,FCV Dender EH,Tubize
2008/2009,1,1,SV Zulte-Waregem,KVC Westerlo
2008/2009,1,3,KSV Cercle Brugge,Club Brugge KV
2008/2009,0,1,RAEC Mons,Standard de Liège
2008/2009,2,0,RSC Anderlecht,SV Zulte-Waregem
2008/2009,2,3,KV Kortrijk,Sporting Lokeren
2008/2009,4,3,KRC Genk,FCV Dender EH
2008/2009,0,1,KVC Westerlo,KV Mechelen
2008/2009,2,0,KSV Roeselare,Royal Excel Mouscron
2008/2009,2,0,KAA Gent,Tubize
2008/2009,0,0,Sporting Charleroi,Beerschot AC
2008/2009,2,1,KV Mechelen,RSC Anderlecht
2008/2009,2,0,Standard de Liège,KRC Genk
2008/2009,2,0,Beerschot AC,RAEC Mons
2008/2009,0,0,Sporting Lokeren,Sporting Charleroi
2008/2009,1,0,FCV Dender EH,KSV Cercle Brugge
2008/2009,1,4,Club Brugge KV,KAA Gent
2008/2009,0,0,SV Zulte-Waregem,KSV Roeselare
2008/2009,1,0,Royal Excel Mouscron,KV Kortrijk
2008/2009,1,2,Tubize,KVC Westerlo
2008/2009,2,3,KV Kortrijk,Club Brugge KV
2008/2009,1,0,Sporting Charleroi,Standard de Liège
2008/2009,1,0,KAA Gent,SV Zulte-Waregem
2008/2009,0,2,RAEC Mons,Sporting Lokeren
2008/2009,3,1,KVC Westerlo,FCV Dender EH
2008/2009,1,0,KSV Roeselare,KV Mechelen
2008/2009,0,1,KSV Cercle Brugge,Royal Excel Mouscron
2008/2009,3,0,KRC Genk,Tubize
2008/2009,2,0,RSC Anderlecht,Beerschot AC
2008/2009,0,0,Sporting Lokeren,RSC Anderlecht
2008/2009,3,2,Royal Excel Mouscron,RAEC Mons
2008/2009,2,1,Club Brugge KV,Sporting Charleroi
2008/2009,3,1,SV Zulte-Waregem,KSV Cercle Brugge
2008/2009,1,1,FCV Dender EH,KAA Gent
2008/2009,0,1,Tubize,KSV Roeselare
2008/2009,1,1,KV Mechelen,KV Kortrijk
2008/2009,1,4,KRC Genk,KVC Westerlo
2008/2009,3,1,Standard de Liège,Beerschot AC
2008/2009,1,0,RSC Anderlecht,Club Brugge KV
2008/2009,1,0,KSV Roeselare,KRC Genk
2008/2009,1,2,Beerschot AC,SV Zulte-Waregem
2008/2009,1,0,Standard de Liège,Sporting Lokeren
2008/2009,1,2,KV Kortrijk,FCV Dender EH
2008/2009,0,1,RAEC Mons,KV Mechelen
2008/2009,1,0,Sporting Charleroi,Royal Excel Mouscron
2008/2009,4,1,KSV Cercle Brugge,Tubize
2008/2009,2,0,KAA Gent,KVC Westerlo
2008/2009,4,0,RSC Anderlecht,KV Kortrijk
2008/2009,1,0,KRC Genk,Sporting Lokeren
2008/2009,2,1,KSV Cercle Brugge,RAEC Mons
2008/2009,2,0,KAA Gent,Sporting Charleroi
2008/2009,1,2,FCV Dender EH,Royal Excel Mouscron
2008/2009,0,2,KV Mechelen,SV Zulte-Waregem
2008/2009,1,1,KSV Roeselare,Standard de Liège
2008/2009,1,4,Tubize,Club Brugge KV
2008/2009,1,0,KVC Westerlo,Beerschot AC
2008/2009,0,1,KVC Westerlo,RSC Anderlecht
2008/2009,0,3,Royal Excel Mouscron,Standard de Liège
2008/2009,3,2,Club Brugge KV,RAEC Mons
2008/2009,3,1,Tubize,Sporting Charleroi
2008/2009,0,1,KV Mechelen,KSV Cercle Brugge
2008/2009,2,2,KRC Genk,KAA Gent
2008/2009,3,1,FCV Dender EH,KSV Roeselare
2008/2009,5,1,SV Zulte-Waregem,KV Kortrijk
2008/2009,1,0,Sporting Lokeren,Beerschot AC
2008/2009,2,0,Beerschot AC,Club Brugge KV
2008/2009,1,2,KSV Cercle Brugge,KRC Genk
2008/2009,1,0,Sporting Charleroi,SV Zulte-Waregem
2008/2009,1,3,KSV Roeselare,KAA Gent
2008/2009,4,0,RSC Anderlecht,FCV Dender EH
2008/2009,4,1,Standard de Liège,KV Mechelen
2008/2009,3,0,Sporting Lokeren,Royal Excel Mouscron
2008/2009,2,2,KV Kortrijk,Tubize
2008/2009,0,2,RAEC Mons,KVC Westerlo
2008/2009,1,1,Tubize,RSC Anderlecht
2008/2009,0,0,SV Zulte-Waregem,Standard de Liège
2008/2009,0,0,FCV Dender EH,RAEC Mons
2008/2009,2,1,KV Mechelen,Sporting Charleroi
2008/2009,2,1,KAA Gent,KSV Cercle Brugge
2008/2009,2,3,Club Brugge KV,Sporting Lokeren
2008/2009,1,0,KVC Westerlo,KSV Roeselare
2008/2009,0,1,KRC Genk,KV Kortrijk
2008/2009,3,1,Royal Excel Mouscron,Beerschot AC
2008/2009,2,0,Standard de Liège,Club Brugge KV
2008/2009,3,0,Sporting Charleroi,KRC Genk
2008/2009,0,2,Royal Excel Mouscron,SV Zulte-Waregem
2008/2009,0,2,KV Kortrijk,KAA Gent
2008/2009,0,2,Sporting Lokeren,FCV Dender EH
2008/2009,3,1,Beerschot AC,KV Mechelen
2008/2009,3,1,RSC Anderlecht,KSV Roeselare
2008/2009,1,1,RAEC Mons,Tubize
2008/2009,2,1,KSV Cercle Brugge,KVC Westerlo
2008/2009,0,2,KRC Genk,RSC Anderlecht
2008/2009,0,1,KAA Gent,Standard de Liège
2008/2009,3,0,SV Zulte-Waregem,RAEC Mons
2008/2009,1,2,FCV Dender EH,Sporting Charleroi
2008/2009,1,2,KSV Roeselare,KSV Cercle Brugge
2008/2009,3,0,KV Mechelen,Sporting Lokeren
2008/2009,4,1,Club Brugge KV,Royal Excel Mouscron
2008/2009,1,3,KVC Westerlo,KV Kortrijk
2008/2009,1,0,Tubize,Beerschot AC
2008/2009,1,1,Club Brugge KV,FCV Dender EH
2008/2009,2,0,Standard de Liège,KV Kortrijk
2008/2009,1,2,RAEC Mons,RSC Anderlecht
2008/2009,1,3,SV Zulte-Waregem,KRC Genk
2008/2009,3,2,Sporting Charleroi,KSV Cercle Brugge
2008/2009,1,1,Sporting Lokeren,KVC Westerlo
2008/2009,0,0,KV Mechelen,Tubize
2008/2009,4,2,Royal Excel Mouscron,KAA Gent
2008/2009,3,0,Beerschot AC,KSV Roeselare
2008/2009,2,0,RSC Anderlecht,Sporting Charleroi
2008/2009,0,1,KRC Genk,Club Brugge KV
2008/2009,1,0,KSV Cercle Brugge,Beerschot AC
2008/2009,1,2,KAA Gent,KV Mechelen
2008/2009,2,0,FCV Dender EH,SV Zulte-Waregem
2008/2009,0,1,KSV Roeselare,Sporting Lokeren
2008/2009,1,0,KV Kortrijk,RAEC Mons
2008/2009,0,1,Tubize,Standard de Liège
2008/2009,0,0,KVC Westerlo,Royal Excel Mouscron
2008/2009,2,0,Club Brugge KV,KVC Westerlo
2008/2009,2,1,Standard de Liège,RSC Anderlecht
2008/2009,2,0,RAEC Mons,KSV Roeselare
2008/2009,1,0,SV Zulte-Waregem,Tubize
2008/2009,1,2,Sporting Charleroi,KV Kortrijk
2008/2009,1,1,Sporting Lokeren,KSV Cercle Brugge
2008/2009,4,1,KV Mechelen,FCV Dender EH
2008/2009,1,2,Royal Excel Mouscron,KRC Genk
2008/2009,2,2,Beerschot AC,KAA Gent
2008/2009,2,1,RSC Anderlecht,Royal Excel Mouscron
2008/2009,2,1,KRC Genk,KV Mechelen
2008/2009,1,1,RAEC Mons,Sporting Charleroi
2008/2009,4,1,KSV Cercle Brugge,Standard de Liège
2008/2009,1,1,KAA Gent,Sporting Lokeren
2008/2009,0,1,KSV Roeselare,Club Brugge KV
2008/2009,0,0,KV Kortrijk,Beerschot AC
2008/2009,2,1,Tubize,FCV Dender EH
2008/2009,3,2,KVC Westerlo,SV Zulte-Waregem
2008/2009,3,1,Club Brugge KV,KSV Cercle Brugge
2008/2009,2,1,Standard de Liège,RAEC Mons
2008/2009,4,0,SV Zulte-Waregem,RSC Anderlecht
2008/2009,2,0,Sporting Lokeren,KV Kortrijk
2008/2009,2,4,FCV Dender EH,KRC Genk
2008/2009,1,3,KV Mechelen,KVC Westerlo
2008/2009,2,0,Royal Excel Mouscron,KSV Roeselare
2008/2009,0,1,Tubize,KAA Gent
2008/2009,1,2,Beerschot AC,Sporting Charleroi
2008/2009,7,1,RSC Anderlecht,KV Mechelen
2008/2009,0,0,KRC Genk,Standard de Liège
2008/2009,0,0,RAEC Mons,Beerschot AC
2008/2009,1,1,Sporting Charleroi,Sporting Lokeren
2008/2009,1,2,KSV Cercle Brugge,FCV Dender EH
2008/2009,3,0,KAA Gent,Club Brugge KV
2008/2009,0,3,KSV Roeselare,SV Zulte-Waregem
2008/2009,2,2,KV Kortrijk,Royal Excel Mouscron
2008/2009,4,1,KVC Westerlo,Tubize
2009/2010,2,2,Standard de Liège,Sint-Truidense VV
2009/2010,1,2,Sporting Charleroi,Club Brugge KV
2009/2010,1,3,KSV Cercle Brugge,KAA Gent
2009/2010,1,1,Sporting Lokeren,SV Zulte-Waregem
2009/2010,0,2,KV Kortrijk,RSC Anderlecht
2009/2010,4,1,KV Mechelen,KVC Westerlo
2009/2010,1,1,KSV Roeselare,Beerschot AC
2009/2010,4,2,Club Brugge KV,RSC Anderlecht
2009/2010,1,0,Standard de Liège,KRC Genk
2009/2010,1,2,Sint-Truidense VV,SV Zulte-Waregem
2009/2010,3,3,Sporting Charleroi,KV Kortrijk
2009/2010,2,0,KV Mechelen,Sporting Lokeren
2009/2010,3,2,KSV Roeselare,KSV Cercle Brugge
2009/2010,3,1,Beerschot AC,KVC Westerlo
2009/2010,1,0,Club Brugge KV,KAA Gent
2009/2010,2,0,RSC Anderlecht,Sporting Charleroi
2009/2010,1,2,KRC Genk,KV Mechelen
2009/2010,4,0,SV Zulte-Waregem,Beerschot AC
2009/2010,1,1,Sporting Lokeren,KSV Cercle Brugge
2009/2010,2,0,KV Kortrijk,KSV Roeselare
2009/2010,2,0,KVC Westerlo,Standard de Liège
2009/2010,1,1,Standard de Liège,SV Zulte-Waregem
2009/2010,1,2,Sint-Truidense VV,KAA Gent
2009/2010,1,1,Sporting Charleroi,KVC Westerlo
2009/2010,1,1,KSV Cercle Brugge,KV Kortrijk
2009/2010,0,2,Sporting Lokeren,KRC Genk
2009/2010,0,2,KV Mechelen,RSC Anderlecht
2009/2010,2,3,KSV Roeselare,Club Brugge KV
2009/2010,1,0,Club Brugge KV,Sint-Truidense VV
2009/2010,2,0,RSC Anderlecht,Sporting Lokeren
2009/2010,2,0,KRC Genk,KSV Cercle Brugge
2009/2010,2,2,SV Zulte-Waregem,Sporting Charleroi
2009/2010,0,1,KAA Gent,Beerschot AC
2009/2010,2,0,KV Kortrijk,KV Mechelen
2009/2010,2,2,KVC Westerlo,KSV Roeselare
2009/2010,3,1,Standard de Liège,Club Brugge KV
2009/2010,0,2,KRC Genk,RSC Anderlecht
2009/2010,0,2,Sporting Charleroi,KAA Gent
2009/2010,2,1,KSV Cercle Brugge,KVC Westerlo
2009/2010,0,0,Sporting Lokeren,KV Kortrijk
2009/2010,2,0,KSV Roeselare,SV Zulte-Waregem
2009/2010,4,1,Beerschot AC,Sint-Truidense VV
2009/2010,1,2,Club Brugge KV,Beerschot AC
2009/2010,3,1,RSC Anderlecht,KSV Roeselare
2009/2010,1,1,Sint-Truidense VV,KSV Cercle Brugge
2009/2010,4,1,SV Zulte-Waregem,KV Mechelen
2009/2010,2,1,KAA Gent,Standard de Liège
2009/2010,2,1,KV Kortrijk,KRC Genk
2009/2010,1,0,KVC Westerlo,Sporting Lokeren
2009/2010,1,0,Club Brugge KV,Sporting Charleroi
2009/2010,1,0,RSC Anderlecht,KV Kortrijk
2009/2010,2,0,Sint-Truidense VV,Standard de Liège
2009/2010,1,0,SV Zulte-Waregem,Sporting Lokeren
2009/2010,3,1,KAA Gent,KSV Cercle Brugge
2009/2010,2,0,KVC Westerlo,KV Mechelen
2009/2010,3,0,Beerschot AC,KSV Roeselare
2009/2010,2,2,Standard de Liège,Beerschot AC
2009/2010,0,0,KRC Genk,KVC Westerlo
2009/2010,0,0,Sporting Charleroi,Sint-Truidense VV
2009/2010,1,3,KSV Cercle Brugge,RSC Anderlecht
2009/2010,0,1,Sporting Lokeren,Club Brugge KV
2009/2010,1,0,KV Kortrijk,SV Zulte-Waregem
2009/2010,2,5,KV Mechelen,KAA Gent
2009/2010,1,1,Club Brugge KV,KV Mechelen
2009/2010,0,1,Standard de Liège,KSV Roeselare
2009/2010,0,2,Sint-Truidense VV,KV Kortrijk
2009/2010,1,0,SV Zulte-Waregem,KSV Cercle Brugge
2009/2010,2,1,KAA Gent,KRC Genk
2009/2010,0,2,KVC Westerlo,RSC Anderlecht
2009/2010,0,0,Beerschot AC,Sporting Charleroi
2009/2010,3,2,RSC Anderlecht,Club Brugge KV
2009/2010,2,2,KRC Genk,SV Zulte-Waregem
2009/2010,2,3,Sporting Charleroi,Standard de Liège
2009/2010,0,1,Sporting Lokeren,KAA Gent
2009/2010,1,1,KV Kortrijk,KVC Westerlo
2009/2010,1,0,KV Mechelen,Beerschot AC
2009/2010,1,2,KSV Roeselare,Sint-Truidense VV
2009/2010,2,0,Club Brugge KV,Sporting Lokeren
2009/2010,3,2,RSC Anderlecht,KSV Cercle Brugge
2009/2010,0,0,Sint-Truidense VV,Sporting Charleroi
2009/2010,2,2,SV Zulte-Waregem,KRC Genk
2009/2010,2,1,KAA Gent,KV Mechelen
2009/2010,1,1,KVC Westerlo,KV Kortrijk
2009/2010,1,1,Beerschot AC,Standard de Liège
2009/2010,2,1,Club Brugge KV,KSV Cercle Brugge
2009/2010,2,0,Standard de Liège,Sporting Lokeren
2009/2010,5,2,Sint-Truidense VV,KV Mechelen
2009/2010,1,0,SV Zulte-Waregem,KVC Westerlo
2009/2010,3,0,Sporting Charleroi,KSV Roeselare
2009/2010,2,2,KAA Gent,RSC Anderlecht
2009/2010,1,0,Beerschot AC,KRC Genk
2009/2010,2,1,RSC Anderlecht,SV Zulte-Waregem
2009/2010,0,0,KRC Genk,Sint-Truidense VV
2009/2010,2,0,KSV Cercle Brugge,Standard de Liège
2009/2010,2,0,Sporting Lokeren,Beerschot AC
2009/2010,1,4,KV Kortrijk,Club Brugge KV
2009/2010,1,0,KV Mechelen,Sporting Charleroi
2009/2010,0,4,KSV Roeselare,KAA Gent
2009/2010,2,1,Club Brugge KV,KVC Westerlo
2009/2010,0,4,Standard de Liège,RSC Anderlecht
2009/2010,2,1,Sint-Truidense VV,Sporting Lokeren
2009/2010,1,3,Sporting Charleroi,KRC Genk
2009/2010,2,2,KAA Gent,KV Kortrijk
2009/2010,1,2,KSV Roeselare,KV Mechelen
2009/2010,1,4,Beerschot AC,KSV Cercle Brugge
2009/2010,2,0,KRC Genk,Club Brugge KV
2009/2010,2,0,SV Zulte-Waregem,Sint-Truidense VV
2009/2010,1,0,KSV Cercle Brugge,Sporting Charleroi
2009/2010,1,4,Sporting Lokeren,KSV Roeselare
2009/2010,3,0,KV Kortrijk,Beerschot AC
2009/2010,0,0,KV Mechelen,Standard de Liège
2009/2010,0,0,KVC Westerlo,KAA Gent
2009/2010,3,1,Standard de Liège,KV Kortrijk
2009/2010,0,1,Sint-Truidense VV,KVC Westerlo
2009/2010,4,1,Sporting Charleroi,Sporting Lokeren
2009/2010,0,2,KAA Gent,SV Zulte-Waregem
2009/2010,1,2,KV Mechelen,KSV Cercle Brugge
2009/2010,1,1,KSV Roeselare,KRC Genk
2009/2010,0,5,Beerschot AC,RSC Anderlecht
2009/2010,1,2,RSC Anderlecht,Sint-Truidense VV
2009/2010,1,0,KRC Genk,Standard de Liège
2009/2010,1,1,SV Zulte-Waregem,Club Brugge KV
2009/2010,2,0,KSV Cercle Brugge,KSV Roeselare
2009/2010,2,1,Sporting Lokeren,KV Mechelen
2009/2010,2,1,KV Kortrijk,Sporting Charleroi
2009/2010,1,1,KVC Westerlo,Beerschot AC
2009/2010,1,0,Standard de Liège,KVC Westerlo
2009/2010,0,2,Sporting Charleroi,RSC Anderlecht
2009/2010,4,0,KSV Cercle Brugge,Sporting Lokeren
2009/2010,1,1,KAA Gent,Club Brugge KV
2009/2010,2,1,KV Mechelen,KRC Genk
2009/2010,0,2,KSV Roeselare,KV Kortrijk
2009/2010,1,1,Beerschot AC,SV Zulte-Waregem
2009/2010,2,1,Club Brugge KV,Standard de Liège
2009/2010,2,0,RSC Anderlecht,KV Mechelen
2009/2010,3,1,KRC Genk,Sporting Lokeren
2009/2010,1,1,SV Zulte-Waregem,KSV Roeselare
2009/2010,0,1,KAA Gent,Sint-Truidense VV
2009/2010,3,1,KV Kortrijk,KSV Cercle Brugge
2009/2010,4,0,KVC Westerlo,Sporting Charleroi
2009/2010,1,1,Sint-Truidense VV,Club Brugge KV
2009/2010,0,0,Sporting Charleroi,SV Zulte-Waregem
2009/2010,1,0,KSV Cercle Brugge,KRC Genk
2009/2010,1,0,Sporting Lokeren,KVC Westerlo
2009/2010,1,1,KV Mechelen,KV Kortrijk
2009/2010,1,2,KSV Roeselare,RSC Anderlecht
2009/2010,1,1,Beerschot AC,KAA Gent
2009/2010,1,0,Club Brugge KV,KSV Roeselare
2009/2010,2,0,RSC Anderlecht,KRC Genk
2009/2010,2,0,Sint-Truidense VV,Beerschot AC
2009/2010,1,1,SV Zulte-Waregem,Standard de Liège
2009/2010,2,1,KAA Gent,Sporting Charleroi
2009/2010,3,1,KV Kortrijk,Sporting Lokeren
2009/2010,2,1,KVC Westerlo,KSV Cercle Brugge
2009/2010,3,0,RSC Anderlecht,KVC Westerlo
2009/2010,1,1,KRC Genk,KAA Gent
2009/2010,1,0,Sporting Charleroi,Beerschot AC
2009/2010,2,2,KSV Cercle Brugge,SV Zulte-Waregem
2009/2010,1,2,Sporting Lokeren,Sint-Truidense VV
2009/2010,2,1,KV Mechelen,Club Brugge KV
2009/2010,1,5,KSV Roeselare,Standard de Liège
2009/2010,0,2,Standard de Liège,KAA Gent
2009/2010,1,1,KRC Genk,KV Kortrijk
2009/2010,3,1,KSV Cercle Brugge,Sint-Truidense VV
2009/2010,0,4,Sporting Lokeren,RSC Anderlecht
2009/2010,2,1,KV Mechelen,SV Zulte-Waregem
2009/2010,0,0,KSV Roeselare,KVC Westerlo
2009/2010,1,4,Beerschot AC,Club Brugge KV
2009/2010,2,2,Club Brugge KV,KV Kortrijk
2009/2010,1,1,Standard de Liège,Sporting Charleroi
2009/2010,2,1,Sint-Truidense VV,KSV Roeselare
2009/2010,0,2,SV Zulte-Waregem,RSC Anderlecht
2009/2010,4,1,KAA Gent,Sporting Lokeren
2009/2010,0,1,KVC Westerlo,KRC Genk
2009/2010,1,3,Beerschot AC,KV Mechelen
2009/2010,1,1,RSC Anderlecht,Standard de Liège
2009/2010,1,1,KRC Genk,Beerschot AC
2009/2010,2,3,KSV Cercle Brugge,Club Brugge KV
2009/2010,1,0,KV Kortrijk,KAA Gent
2009/2010,0,2,KV Mechelen,Sint-Truidense VV
2009/2010,1,3,KSV Roeselare,Sporting Charleroi
2009/2010,1,2,KVC Westerlo,SV Zulte-Waregem
2009/2010,1,1,Club Brugge KV,KRC Genk
2009/2010,3,0,Standard de Liège,KV Mechelen
2009/2010,2,1,Sint-Truidense VV,RSC Anderlecht
2009/2010,0,2,SV Zulte-Waregem,KV Kortrijk
2009/2010,0,4,Sporting Charleroi,KSV Cercle Brugge
2009/2010,5,1,KAA Gent,KSV Roeselare
