team,pos,season
Smederevo,16,2012-13
Partizan Beograd,1,2011-12
FK Red Star Belgrade,2,2011-12
Vojvodina,3,2011-12
Jagodina,4,2011-12
Sloboda Užice,5,2011-12
Radnički 1923 Kragujevac,6,2011-12
FK Spartak Subotica,7,2011-12
OFK Beograd,8,2011-12
Javor,9,2011-12
Rad Beograd,10,2011-12
Hajduk Kula,11,2011-12
BSK Borča,12,2011-12
Smederevo,13,2011-12
Novi Pazar,14,2011-12
Borac Čačak,15,2011-12
FK Metalac,16,2011-12
Partizan Beograd,1,2010-11
FK Red Star Belgrade,2,2010-11
Vojvodina,3,2010-11
Rad Beograd,4,2010-11
FK Spartak Subotica,5,2010-11
Sloboda Užice,6,2010-11
OFK Beograd,7,2010-11
Javor,8,2010-11
Borac Čačak,9,2010-11
Smederevo,10,2010-11
BSK Borča,11,2010-11
Jagodina,12,2010-11
Hajduk Kula,13,2010-11
FK Metalac,14,2010-11
FK Inđija,15,2010-11
Čukarički,16,2010-11
Partizan Beograd,1,2009-10
FK Red Star Belgrade,2,2009-10
OFK Beograd,3,2009-10
FK Spartak Subotica,4,2009-10
Vojvodina,5,2009-10
Jagodina,6,2009-10
Javor,7,2009-10
Rad Beograd,8,2009-10
FK Metalac,9,2009-10
Smederevo,10,2009-10
Borac Čačak,11,2009-10
BSK Borča,12,2009-10
Čukarički,13,2009-10
Hajduk Kula,14,2009-10
Napredak,15,2009-10
Mladi Radnik,16,2009-10
