team,pos,season
Ubon UMT FC,17,2018-18
Air Force Central FC,18,2018-18
Buriram United,1,2017-17
Muangthong United,2,2017-17
Bangkok United,3,2017-17
Chiangrai United,4,2017-17
Ratchaburi FC,5,2017-17
BG Pathum United,6,2017-17
Chonburi FC,7,2017-17
Pattaya United,8,2017-17
Port F.C.,9,2017-17
Ubon UMT FC,10,2017-17
Suphanburi FC,11,2017-17
Nakhon Ratchasima FC,12,2017-17
Siam Navy FC,13,2017-17
Police Tero FC,14,2017-17
Sukhothai FC,15,2017-17
Thai Honda,16,2017-17
Sisaket FC,17,2017-17
Samut Prakan City,18,2017-17
Muangthong United,1,2016-16
Bangkok United,2,2016-16
BG Pathum United,3,2016-16
Buriram United,4,2016-16
Chonburi FC,5,2016-16
Ratchaburi FC,6,2016-16
Sukhothai FC,7,2016-16
Chiangrai United,8,2016-16
Police Tero FC,9,2016-16
Suphanburi FC,10,2016-16
Nakhon Ratchasima FC,11,2016-16
Pattaya United,12,2016-16
Sisaket FC,13,2016-16
Siam Navy FC,14,2016-16
Samut Prakan City,15,2016-16
Army United,16,2016-16
Chainat FC,17,2016-16
BBCU FC,18,2016-16
Buriram United,1,2015-15
Muangthong United,2,2015-15
Suphanburi FC,3,2015-15
Chonburi FC,4,2015-15
Bangkok United,5,2015-15
BG Pathum United,6,2015-15
Ratchaburi FC,7,2015-15
Nakhon Ratchasima FC,8,2015-15
Chiangrai United,9,2015-15
Army United,10,2015-15
Samut Prakan City,11,2015-15
Chainat FC,12,2015-15
Sisaket FC,13,2015-15
Police Tero FC,14,2015-15
Saraburi FC,15,2015-15
Siam Navy FC,16,2015-15
Port F.C.,17,2015-15
TOT,18,2015-15
Buriram United,1,2014-14
Chonburi FC,2,2014-14
Muangthong United,3,2014-14
Police Tero FC,4,2014-14
Ratchaburi FC,5,2014-14
Suphanburi FC,6,2014-14
Chiangrai United,7,2014-14
Bangkok United,8,2014-14
Port F.C.,9,2014-14
Army United,10,2014-14
BG Pathum United,11,2014-14
Samut Prakan City,12,2014-14
Sisaket FC,13,2014-14
Chainat FC,14,2014-14
Police United FC,15,2014-14
TOT,16,2014-14
PTT Rayong FC,17,2014-14
Songkhla United FC,18,2014-14
Air Force Central FC,19,2014-14
Samut Songkram,20,2014-14
Buriram United,1,2013-13
Muangthong United,2,2013-13
Chonburi FC,3,2013-13
Suphanburi FC,4,2013-13
BG Pathum United,5,2013-13
Army United,6,2013-13
Police Tero FC,7,2013-13
Chainat FC,8,2013-13
Samut Prakan City,9,2013-13
Police United FC,10,2013-13
Songkhla United FC,11,2013-13
Chiangrai United,12,2013-13
Bangkok United,13,2013-13
TOT,14,2013-13
Ratchaburi FC,15,2013-13
Samut Songkram,16,2013-13
Pattaya United,17,2013-13
Esan United,18,2013-13
Sisaket FC,19,2013-13
Muangthong United,1,2012-12
Chonburi FC,2,2012-12
Samut Prakan City,3,2012-12
Police Tero FC,4,2012-12
Buriram United,5,2012-12
Samut Songkram,6,2012-12
BG Pathum United,7,2012-12
Esan United,8,2012-12
TOT,9,2012-12
Chiangrai United,10,2012-12
Police United FC,11,2012-12
Army United,12,2012-12
Wuachon United,13,2012-12
Pattaya United,14,2012-12
Chainat FC,15,2012-12
Port F.C.,16,2012-12
BBCU FC,17,2012-12
TTM Chiangmai,18,2012-12
Sriracha,19,2012-12
Khonkaen,20,2012-12
Siam Navy FC,21,2012-12
Buriram United,1,2011-11
Chonburi FC,2,2011-11
Muangthong United,3,2011-11
BG Pathum United,4,2011-11
Pattaya United,5,2011-11
Chiangrai United,6,2011-11
Samut Prakan City,7,2011-11
Port F.C.,8,2011-11
Police United FC,9,2011-11
Police Tero FC,10,2011-11
TTM Chiangmai,11,2011-11
Army United,12,2011-11
Esan United,13,2011-11
Siam Navy FC,14,2011-11
Samut Songkram,15,2011-11
TOT,16,2011-11
Sriracha,17,2011-11
Khonkaen,18,2011-11
Muangthong United,1,2010-10
Buriram United,2,2010-10
Chonburi FC,3,2010-10
Port F.C.,4,2010-10
BG Pathum United,5,2010-10
Pattaya United,6,2010-10
Samut Prakan City,7,2010-10
Samut Songkram,8,2010-10
Police Tero FC,9,2010-10
Police United FC,10,2010-10
Siam Navy FC,11,2010-10
TOT,12,2010-10
TTM Chiangmai,13,2010-10
Esan United,14,2010-10
Bangkok United,15,2010-10
Army United,16,2010-10
Muangthong United,1,2009-09
Chonburi FC,2,2009-09
BG Pathum United,3,2009-09
Police Tero FC,4,2009-09
Samut Prakan City,5,2009-09
Port F.C.,6,2009-09
TOT,7,2009-09
TTM Chiangmai,8,2009-09
Buriram United,9,2009-09
Samut Songkram,10,2009-09
Pattaya United,11,2009-09
Sriracha,12,2009-09
Bangkok United,13,2009-09
Siam Navy FC,14,2009-09
BBCU FC,15,2009-09
Nakhon Pathom,16,2009-09
