team,pos,season
Ajax Cape Town,13,2012-13
Lamontville Golden Arrows,14,2012-13
Chippa United,15,2012-13
Black Leopards,16,2012-13
Orlando Pirates,1,2011-12
Moroka Swallows,2,2011-12
Supersport United,3,2011-12
Mamelodi Sundowns FC,4,2011-12
Kaizer Chiefs,5,2011-12
Free State Stars,6,2011-12
AmaZulu FC,7,2011-12
Bloemfontein Celtic,8,2011-12
Ajax Cape Town,9,2011-12
Platinum Stars,10,2011-12
Maritzburg United,11,2011-12
Bidvest Wits,12,2011-12
Lamontville Golden Arrows,13,2011-12
Black Leopards,14,2011-12
Santos,15,2011-12
Jomo Cosmos,16,2011-12
Orlando Pirates,1,2010-11
Ajax Cape Town,2,2010-11
Kaizer Chiefs,3,2010-11
Mamelodi Sundowns FC,4,2010-11
Bloemfontein Celtic,5,2010-11
Bidvest Wits,6,2010-11
Supersport United,7,2010-11
Santos,8,2010-11
Free State Stars,9,2010-11
Platinum Stars,10,2010-11
Lamontville Golden Arrows,11,2010-11
Maritzburg United,12,2010-11
Moroka Swallows,13,2010-11
AmaZulu FC,14,2010-11
Stellenbosch FC,15,2010-11
Cape Town City FC,16,2010-11
Supersport United,1,2009-10
Mamelodi Sundowns FC,2,2009-10
Kaizer Chiefs,3,2009-10
Santos,4,2009-10
Orlando Pirates,5,2009-10
Bloemfontein Celtic,6,2009-10
Ajax Cape Town,7,2009-10
Moroka Swallows,8,2009-10
AmaZulu FC,9,2009-10
Bidvest Wits,10,2009-10
Maritzburg United,11,2009-10
Lamontville Golden Arrows,12,2009-10
Free State Stars,13,2009-10
Platinum Stars,14,2009-10
Cape Town City FC,15,2009-10
Jomo Cosmos,16,2009-10
