team,pos,season
AEZ Zakakiou,13,2016-17
Anagennisi Deryneia,14,2016-17
APOEL Nicosia,1,2015-16
AEK Larnaca,2,2015-16
Omonia Nicosia,3,2015-16
Apollon Limassol,4,2015-16
Anorthosis,5,2015-16
AEL Limassol,6,2015-16
Ermis Aradippou,7,2015-16
Aris Limassol,8,2015-16
Doxa Katokopia,9,2015-16
Ethnikos Achnas,10,2015-16
Nea Salamis,11,2015-16
Pafos FC,12,2015-16
Enosis Paralimni,13,2015-16
Ayia Napa,14,2015-16
AEK Larnaca,1,2014-15
Nea Salamis,2,2014-15
Doxa Katokopia,3,2014-15
Ayia Napa,4,2014-15
Othellos Athienou FC,5,2014-15
Omonia Nicosia,6,2014-15
APOEL Nicosia,7,2014-15
Anorthosis,8,2014-15
Ethnikos Achnas,9,2014-15
Ermis Aradippou,10,2014-15
AEL Limassol,11,2014-15
Apollon Limassol,12,2014-15
APOEL Nicosia,1,2013-14
AEL Limassol,2,2013-14
Apollon Limassol,3,2013-14
Ermis Aradippou,4,2013-14
Omonia Nicosia,5,2013-14
Nea Salamis,6,2013-14
AEK Larnaca,7,2013-14
Anorthosis,8,2013-14
Doxa Katokopia,9,2013-14
Ethnikos Achnas,10,2013-14
Aris Limassol,11,2013-14
AE Kouklion,12,2013-14
Enosis Paralimni,13,2013-14
Alki,14,2013-14
APOEL Nicosia,1,2012-13
Anorthosis,2,2012-13
Omonia Nicosia,3,2012-13
AEL Limassol,4,2012-13
AEK Larnaca,5,2012-13
Apollon Limassol,6,2012-13
Doxa Katokopia,7,2012-13
Olympiakos Nicosia,8,2012-13
Ethnikos Achnas,9,2012-13
Alki,10,2012-13
Nea Salamis,11,2012-13
Enosis Paralimni,12,2012-13
Pafos FC,13,2012-13
Ayia Napa,14,2012-13
Omonia Nicosia,1,2011-12
APOEL Nicosia,2,2011-12
AEL Limassol,3,2011-12
Anorthosis,4,2011-12
AEK Larnaca,5,2011-12
Apollon Limassol,6,2011-12
Nea Salamis,7,2011-12
Alki,8,2011-12
Ethnikos Achnas,9,2011-12
Olympiakos Nicosia,10,2011-12
Enosis Paralimni,11,2011-12
Aris Limassol,12,2011-12
Anagennisi Deryneia,13,2011-12
Ermis Aradippou,14,2011-12
APOEL Nicosia,1,2010-11
Omonia Nicosia,2,2010-11
Anorthosis,3,2010-11
AEK Larnaca,4,2010-11
Apollon Limassol,5,2010-11
Enosis Paralimni,6,2010-11
Olympiakos Nicosia,7,2010-11
Ethnikos Achnas,8,2010-11
AEL Limassol,9,2010-11
Alki,10,2010-11
Ermis Aradippou,11,2010-11
Pafos FC,12,2010-11
Doxa Katokopia,13,2010-11
APOP / Kinyras,14,2010-11
Omonia Nicosia,1,2009-10
Anorthosis,2,2009-10
Apollon Limassol,3,2009-10
APOEL Nicosia,4,2009-10
AEL Limassol,5,2009-10
APOP / Kinyras,6,2009-10
Ethnikos Achnas,7,2009-10
Ermis Aradippou,8,2009-10
Enosis Paralimni,9,2009-10
Doxa Katokopia,10,2009-10
Pafos FC,11,2009-10
Aris Thessaloniki FC,12,2009-10
APEP,13,2009-10
Nea Salamis,14,2009-10
