team,pos,season
Raja Beni Mellal,16,2019-20
Wydad Casablanca,1,2018-19
RCA Raja Casablanca Athletic,2,2018-19
Hassania Agadir,3,2018-19
Olympic Club de Safi,4,2018-19
Ittihad Tanger,5,2018-19
Youssoufia Berrechid,6,2018-19
Difaâ El Jadida,7,2018-19
FUS Rabat,8,2018-19
Rapide Club Oued Zem,9,2018-19
OCK Khouribga,10,2018-19
Moghreb Tétouan,11,2018-19
MCO Oujda,12,2018-19
FAR Rabat,13,2018-19
RSB Berkane,14,2018-19
KACM Marrakech,15,2018-19
Chabab Rif Al Hoceima,16,2018-19
Ittihad Tanger,1,2017-18
Wydad Casablanca,2,2017-18
Hassania Agadir,3,2017-18
FUS Rabat,4,2017-18
Difaâ El Jadida,5,2017-18
RCA Raja Casablanca Athletic,6,2017-18
Olympic Club de Safi,7,2017-18
FAR Rabat,8,2017-18
RSB Berkane,9,2017-18
Rapide Club Oued Zem,10,2017-18
Moghreb Tétouan,11,2017-18
OCK Khouribga,12,2017-18
Chabab Rif Al Hoceima,13,2017-18
KACM Marrakech,14,2017-18
Chabab Atlas Khénifra,15,2017-18
Racing de Casablanca,16,2017-18
Wydad Casablanca,1,2016-17
Difaâ El Jadida,2,2016-17
RCA Raja Casablanca Athletic,3,2016-17
RSB Berkane,4,2016-17
Ittihad Tanger,5,2016-17
FAR Rabat,6,2016-17
FUS Rabat,7,2016-17
Hassania Agadir,8,2016-17
Olympic Club de Safi,9,2016-17
Chabab Atlas Khénifra,10,2016-17
OCK Khouribga,11,2016-17
Moghreb Tétouan,12,2016-17
KACM Marrakech,13,2016-17
Chabab Rif Al Hoceima,14,2016-17
JSK Chabab Kasba Tadla,15,2016-17
KAC Kénitra,16,2016-17
FUS Rabat,1,2015-16
Wydad Casablanca,2,2015-16
Ittihad Tanger,3,2015-16
RCA Raja Casablanca Athletic,4,2015-16
FAR Rabat,5,2015-16
RSB Berkane,6,2015-16
Moghreb Tétouan,7,2015-16
Hassania Agadir,8,2015-16
Olympic Club de Safi,9,2015-16
Chabab Rif Al Hoceima,10,2015-16
KAC Kénitra,11,2015-16
Difaâ El Jadida,12,2015-16
OCK Khouribga,13,2015-16
KACM Marrakech,14,2015-16
Maghreb Fès,15,2015-16
MCO Oujda,16,2015-16
KACM Marrakech,1,2014-15
Olympic Club de Safi,2,2014-15
KAC Kénitra,3,2014-15
Maghreb Fès,4,2014-15
RSB Berkane,5,2014-15
OCK Khouribga,6,2014-15
FUS Rabat,7,2014-15
FAR Rabat,8,2014-15
Difaâ El Jadida,9,2014-15
Chabab Atlas Khénifra,10,2014-15
RCA Raja Casablanca Athletic,11,2014-15
Moghreb Tétouan,12,2014-15
Ittihad Zemouri de Khemisset,13,2014-15
Wydad Casablanca,14,2014-15
Chabab Rif Al Hoceima,15,2014-15
Hassania Agadir,16,2014-15
Moghreb Tétouan,1,2013-14
RCA Raja Casablanca Athletic,2,2013-14
KACM Marrakech,3,2013-14
FUS Rabat,4,2013-14
Difaâ El Jadida,5,2013-14
Wydad Casablanca,6,2013-14
FAR Rabat,7,2013-14
Hassania Agadir,8,2013-14
OCK Khouribga,9,2013-14
Chabab Rif Al Hoceima,10,2013-14
RSB Berkane,11,2013-14
Olympic Club de Safi,12,2013-14
KAC Kénitra,13,2013-14
Maghreb Fès,14,2013-14
AS Salé,15,2013-14
Wydad Fès,16,2013-14
RCA Raja Casablanca Athletic,1,2012-13
FAR Rabat,2,2012-13
Maghreb Fès,3,2012-13
Wydad Casablanca,4,2012-13
Moghreb Tétouan,5,2012-13
RSB Berkane,6,2012-13
FUS Rabat,7,2012-13
Chabab Rif Al Hoceima,8,2012-13
Difaâ El Jadida,9,2012-13
Hassania Agadir,10,2012-13
Wydad Fès,11,2012-13
Olympic Club de Safi,12,2012-13
OCK Khouribga,13,2012-13
KAC Kénitra,14,2012-13
CODM Meknès,15,2012-13
Raja Beni Mellal,16,2012-13
Moghreb Tétouan,1,2011-12
FUS Rabat,2,2011-12
Wydad Casablanca,3,2011-12
RCA Raja Casablanca Athletic,4,2011-12
Difaâ El Jadida,5,2011-12
FAR Rabat,6,2011-12
Maghreb Fès,7,2011-12
CODM Meknès,8,2011-12
Olympic Club de Safi,9,2011-12
OCK Khouribga,10,2011-12
Hassania Agadir,11,2011-12
KAC Kénitra,12,2011-12
Chabab Rif Al Hoceima,13,2011-12
Wydad Fès,14,2011-12
JSM Laâyoune,15,2011-12
Ittihad Zemouri de Khemisset,16,2011-12
RCA Raja Casablanca Athletic,1,2010-11
Maghreb Fès,2,2010-11
Wydad Casablanca,3,2010-11
Olympic Club de Safi,4,2010-11
OCK Khouribga,5,2010-11
FAR Rabat,6,2010-11
FUS Rabat,7,2010-11
Moghreb Tétouan,8,2010-11
Hassania Agadir,9,2010-11
Difaâ El Jadida,10,2010-11
JSM Laâyoune,11,2010-11
Chabab Rif Al Hoceima,12,2010-11
KAC Kénitra,13,2010-11
Wydad Fès,14,2010-11
KACM Marrakech,15,2010-11
JSK Chabab Kasba Tadla,16,2010-11
Wydad Casablanca,1,2009-10
RCA Raja Casablanca Athletic,2,2009-10
Difaâ El Jadida,3,2009-10
KACM Marrakech,4,2009-10
OCK Khouribga,5,2009-10
Hassania Agadir,6,2009-10
FAR Rabat,7,2009-10
Maghreb Fès,8,2009-10
KAC Kénitra,9,2009-10
Moghreb Tétouan,10,2009-10
FUS Rabat,11,2009-10
Wydad Fès,12,2009-10
JSM Laâyoune,13,2009-10
Ittihad Zemouri de Khemisset,14,2009-10
Olympic Club de Safi,15,2009-10
AS Salé,16,2009-10
