team,pos,season
Atlético Veragüense,10,2016-16
SD Atletico Nacional,1,2016-16
CD Plaza Amador,2,2016-16
Árabe Unido,3,2016-16
Chorrillo,4,2016-16
Atlético Chiriquí,5,2016-16
Tauro FC,6,2016-16
Chepo FC,7,2016-16
Alianza,8,2016-16
Sporting San Miguelito,9,2016-16
San Francisco FC,10,2016-16
Árabe Unido,1,2015-15
Chorrillo,2,2015-15
Chepo FC,3,2015-15
CD Plaza Amador,4,2015-15
Sporting San Miguelito,5,2015-15
Tauro FC,6,2015-15
San Francisco FC,7,2015-15
Alianza,8,2015-15
SD Atletico Nacional,9,2015-15
Atlético Chiriquí,10,2015-15
Alianza,1,2015-15
Sporting San Miguelito,2,2015-15
San Francisco FC,3,2015-15
Independiente de La Chorrera,4,2015-15
Chorrillo,5,2015-15
Chepo FC,6,2015-15
Árabe Unido,7,2015-15
CD Plaza Amador,8,2015-15
Atlético Chiriquí,9,2015-15
Tauro FC,10,2015-15
Sporting San Miguelito,1,2014-14
Chorrillo,2,2014-14
San Francisco FC,3,2014-14
Tauro FC,4,2014-14
Chepo FC,5,2014-14
Árabe Unido,6,2014-14
CD Plaza Amador,7,2014-14
Alianza,8,2014-14
Atlético Chiriquí,9,2014-14
Independiente de La Chorrera,10,2014-14
Árabe Unido,1,2014-14
Chorrillo,2,2014-14
CD Plaza Amador,3,2014-14
San Francisco FC,4,2014-14
Río Abajo,5,2014-14
Tauro FC,6,2014-14
Sporting San Miguelito,7,2014-14
Alianza,8,2014-14
Chepo FC,9,2014-14
Independiente de La Chorrera,10,2014-14
Tauro FC,1,2013-13
San Francisco FC,2,2013-13
CD Plaza Amador,3,2013-13
Independiente de La Chorrera,4,2013-13
Chepo FC,5,2013-13
Chorrillo,6,2013-13
Árabe Unido,7,2013-13
Sporting San Miguelito,8,2013-13
Alianza,9,2013-13
Río Abajo,10,2013-13
San Francisco FC,1,2013-13
Sporting San Miguelito,2,2013-13
Tauro FC,3,2013-13
Árabe Unido,4,2013-13
Río Abajo,5,2013-13
CD Plaza Amador,6,2013-13
Alianza,7,2013-13
Chorrillo,8,2013-13
Atlético Chiriquí,9,2013-13
Chepo FC,10,2013-13
Río Abajo,1,2012-12
Árabe Unido,2,2012-12
CD Plaza Amador,3,2012-12
Chepo FC,4,2012-12
Chorrillo,5,2012-12
Tauro FC,6,2012-12
San Francisco FC,7,2012-12
Alianza,8,2012-12
Sporting San Miguelito,9,2012-12
Atlético Chiriquí,10,2012-12
Sporting San Miguelito,1,2012-12
Árabe Unido,2,2012-12
Chepo FC,3,2012-12
Tauro FC,4,2012-12
Chorrillo,5,2012-12
Alianza,6,2012-12
San Francisco FC,7,2012-12
Atlético Chiriquí,8,2012-12
Colón C-3,9,2012-12
CD Plaza Amador,10,2012-12
Chorrillo,1,2011-11
CD Plaza Amador,2,2011-11
Sporting San Miguelito,3,2011-11
San Francisco FC,4,2011-11
Chepo FC,5,2011-11
Tauro FC,6,2011-11
Árabe Unido,7,2011-11
Alianza,8,2011-11
Atlético Chiriquí,9,2011-11
Colón C-3,10,2011-11
Chorrillo,1,2011-11
San Francisco FC,2,2011-11
Tauro FC,3,2011-11
Sporting San Miguelito,4,2011-11
CD Plaza Amador,5,2011-11
Atlético Chiriquí,6,2011-11
Chepo FC,7,2011-11
Atlético Veragüense,8,2011-11
Árabe Unido,9,2011-11
Alianza,10,2011-11
Tauro FC,1,2010-10
Árabe Unido,2,2010-10
San Francisco FC,3,2010-10
Chorrillo,4,2010-10
Sporting San Miguelito,5,2010-10
CD Plaza Amador,6,2010-10
Alianza,7,2010-10
Atlético Chiriquí,8,2010-10
Chepo FC,9,2010-10
Atlético Veragüense,10,2010-10
Atlético Chiriquí,1,2010-10
Árabe Unido,2,2010-10
Chorrillo,3,2010-10
San Francisco FC,4,2010-10
Alianza,5,2010-10
CD Plaza Amador,6,2010-10
Tauro FC,7,2010-10
Sporting San Miguelito,8,2010-10
Chepo FC,9,2010-10
Atlético Veragüense,10,2010-10
Árabe Unido,1,2009-09
Atlético Chiriquí,2,2009-09
Tauro FC,3,2009-09
Chorrillo,4,2009-09
San Francisco FC,5,2009-09
Sporting San Miguelito,6,2009-09
CD Plaza Amador,7,2009-09
Chepo FC,8,2009-09
Atlético Veragüense,9,2009-09
Alianza,10,2009-09
Tauro FC,1,2009-09
Atlético Chiriquí,2,2009-09
San Francisco FC,3,2009-09
Chorrillo,4,2009-09
Chepo FC,5,2009-09
Sporting San Miguelito,6,2009-09
Árabe Unido,7,2009-09
Atlético Veragüense,8,2009-09
Alianza,9,2009-09
CD Plaza Amador,10,2009-09
