team,pos,season
Nacional Asunción,2,2015-15
Deportivo Capiatá,3,2015-15
Olimpia,4,2015-15
General Díaz,5,2015-15
Libertad,6,2015-15
Rubio Ñú,7,2015-15
Sportivo Luqueño,8,2015-15
Cerro Porteño,9,2015-15
Deportivo Santaní,10,2015-15
Sol de América,11,2015-15
Sportivo San Lorenzo,12,2015-15
Cerro Porteño,1,2014-14
Libertad,2,2014-14
Guaraní,3,2014-14
Sportivo Luqueño,4,2014-14
Nacional Asunción,5,2014-14
Olimpia,6,2014-14
General Díaz,7,2014-14
3 de Febrero,8,2014-14
Sol de América,9,2014-14
Deportivo Capiatá,10,2014-14
Rubio Ñú,11,2014-14
12 de Octubre de Itaugua,12,2014-14
Libertad,1,2014-14
Guaraní,2,2014-14
Olimpia,3,2014-14
Cerro Porteño,4,2014-14
Sol de América,5,2014-14
Rubio Ñú,6,2014-14
Nacional Asunción,7,2014-14
Sportivo Luqueño,8,2014-14
Deportivo Capiatá,9,2014-14
General Díaz,10,2014-14
12 de Octubre de Itaugua,11,2014-14
3 de Febrero,12,2014-14
Cerro Porteño,1,2013-13
Libertad,2,2013-13
Deportivo Capiatá,3,2013-13
Guaraní,4,2013-13
General Díaz,5,2013-13
Nacional Asunción,6,2013-13
Sportivo Luqueño,7,2013-13
Rubio Ñú,8,2013-13
Olimpia,9,2013-13
Deportivo Carapeguá,10,2013-13
Sol de América,11,2013-13
Cerro Porteño PF,12,2013-13
Nacional Asunción,1,2013-13
Guaraní,2,2013-13
Cerro Porteño,3,2013-13
Libertad,4,2013-13
Olimpia,5,2013-13
Sol de América,6,2013-13
Deportivo Capiatá,7,2013-13
Rubio Ñú,8,2013-13
General Díaz,9,2013-13
Sportivo Luqueño,10,2013-13
Cerro Porteño PF,11,2013-13
Deportivo Carapeguá,12,2013-13
Libertad,1,2012-12
Nacional Asunción,2,2012-12
Guaraní,3,2012-12
Cerro Porteño,4,2012-12
Sportivo Luqueño,5,2012-12
Olimpia,6,2012-12
Cerro Porteño PF,7,2012-12
Sol de América,8,2012-12
Deportivo Carapeguá,9,2012-12
Tacuary,10,2012-12
Rubio Ñú,11,2012-12
Independiente FBC (Campo Grande),12,2012-12
Cerro Porteño,1,2012-12
Olimpia,2,2012-12
Libertad,3,2012-12
Sol de América,4,2012-12
Nacional Asunción,5,2012-12
Guaraní,6,2012-12
Cerro Porteño PF,7,2012-12
Sportivo Luqueño,8,2012-12
Independiente FBC (Campo Grande),9,2012-12
Deportivo Carapeguá,10,2012-12
Rubio Ñú,11,2012-12
Tacuary,12,2012-12
Olimpia,1,2011-11
Cerro Porteño,2,2011-11
Libertad,3,2011-11
Nacional Asunción,4,2011-11
Tacuary,5,2011-11
Sol de América,6,2011-11
Independiente FBC (Campo Grande),7,2011-11
Guaraní,8,2011-11
Rubio Ñú,9,2011-11
General Caballero,10,2011-11
3 de Febrero,11,2011-11
Sportivo Luqueño,12,2011-11
Nacional Asunción,1,2011-11
Olimpia,2,2011-11
Libertad,3,2011-11
Guaraní,4,2011-11
Rubio Ñú,5,2011-11
Tacuary,6,2011-11
Cerro Porteño,7,2011-11
3 de Febrero,8,2011-11
Independiente FBC (Campo Grande),9,2011-11
Sol de América,10,2011-11
Sportivo Luqueño,11,2011-11
General Caballero,12,2011-11
Libertad,1,2010-10
Cerro Porteño,2,2010-10
Nacional Asunción,3,2010-10
Guaraní,4,2010-10
Olimpia,5,2010-10
Rubio Ñú,6,2010-10
Sport Colombia,7,2010-10
Tacuary,8,2010-10
Sol de América,9,2010-10
3 de Febrero,10,2010-10
Sportivo Trinidense,11,2010-10
Sportivo Luqueño,12,2010-10
Guaraní,1,2010-10
Cerro Porteño,2,2010-10
Olimpia,3,2010-10
Libertad,4,2010-10
Rubio Ñú,5,2010-10
Nacional Asunción,6,2010-10
Sportivo Luqueño,7,2010-10
Sol de América,8,2010-10
Sportivo Trinidense,9,2010-10
3 de Febrero,10,2010-10
Sport Colombia,11,2010-10
Tacuary,12,2010-10
Nacional Asunción,1,2009-09
Libertad,2,2009-09
Guaraní,3,2009-09
Rubio Ñú,4,2009-09
Olimpia,5,2009-09
Cerro Porteño,6,2009-09
Tacuary,7,2009-09
3 de Febrero,8,2009-09
Sol de América,9,2009-09
2 de Mayo,10,2009-09
Sportivo Luqueño,11,2009-09
12 de Octubre de Itaugua,12,2009-09
Cerro Porteño,1,2009-09
Libertad,2,2009-09
Nacional Asunción,3,2009-09
Olimpia,4,2009-09
Tacuary,5,2009-09
Sportivo Luqueño,6,2009-09
Guaraní,7,2009-09
Rubio Ñú,8,2009-09
Sol de América,9,2009-09
12 de Octubre de Itaugua,10,2009-09
2 de Mayo,11,2009-09
3 de Febrero,12,2009-09
