team,pos,season
Beijing Renhe,16,2019-19
Shanghai Port F.C.,1,2018-18
Shandong Taishan F.C.,2,2018-18
Guangzhou F.C.,3,2018-18
Beijing Guoan,4,2018-18
Jiangsu Suning FC,5,2018-18
Hebei F.C.,6,2018-18
Shanghai Shenhua,7,2018-18
Beijing Renhe,8,2018-18
Tianjin Tianhai,9,2018-18
Guangzhou City F.C.,10,2018-18
Henan Songshan Longmen F.C.,11,2018-18
Tianjin Jinmen Tiger F.C.,12,2018-18
Chongqing Liangjiang Athletic F.C.,13,2018-18
Changchun Yatai,14,2018-18
Dalian Professional FC,15,2018-18
Guizhou Hengfeng,16,2018-18
Guangzhou F.C.,1,2017-17
Shanghai Port F.C.,2,2017-17
Tianjin Tianhai,3,2017-17
Guangzhou City F.C.,4,2017-17
Hebei F.C.,5,2017-17
Shandong Taishan F.C.,6,2017-17
Guizhou Hengfeng,7,2017-17
Changchun Yatai,8,2017-17
Beijing Guoan,9,2017-17
Shanghai Shenhua,10,2017-17
Chongqing Liangjiang Athletic F.C.,11,2017-17
Jiangsu Suning FC,12,2017-17
Tianjin Jinmen Tiger F.C.,13,2017-17
Henan Songshan Longmen F.C.,14,2017-17
Yanbian,15,2017-17
Liaoning Hongyun,16,2017-17
Guangzhou F.C.,1,2016-16
Jiangsu Suning FC,2,2016-16
Shanghai Port F.C.,3,2016-16
Shanghai Shenhua,4,2016-16
Beijing Guoan,5,2016-16
Guangzhou City F.C.,6,2016-16
Hebei F.C.,7,2016-16
Yanbian,8,2016-16
Chongqing Liangjiang Athletic F.C.,9,2016-16
Liaoning Hongyun,10,2016-16
Tianjin Jinmen Tiger F.C.,11,2016-16
Changchun Yatai,12,2016-16
Henan Songshan Longmen F.C.,13,2016-16
Shandong Taishan F.C.,14,2016-16
Zhejiang Professional,15,2016-16
Shijiazhuang Ever Bright,16,2016-16
Guangzhou F.C.,1,2015-15
Shanghai Port F.C.,2,2015-15
Shandong Taishan F.C.,3,2015-15
Beijing Guoan,4,2015-15
Henan Songshan Longmen F.C.,5,2015-15
Shanghai Shenhua,6,2015-15
Shijiazhuang Ever Bright,7,2015-15
Changchun Yatai,8,2015-15
Jiangsu Suning FC,9,2015-15
Chongqing Liangjiang Athletic F.C.,10,2015-15
Zhejiang Professional,11,2015-15
Guangzhou City F.C.,12,2015-15
Tianjin Jinmen Tiger F.C.,13,2015-15
Liaoning Hongyun,14,2015-15
Beijing Renhe,15,2015-15
Shanghai Shenxin,16,2015-15
Guangzhou F.C.,1,2014-14
Beijing Guoan,2,2014-14
Guangzhou City F.C.,3,2014-14
Shandong Taishan F.C.,4,2014-14
Shanghai Port F.C.,5,2014-14
Beijing Renhe,6,2014-14
Tianjin Jinmen Tiger F.C.,7,2014-14
Jiangsu Suning FC,8,2014-14
Shanghai Shenhua,9,2014-14
Liaoning Hongyun,10,2014-14
Shanghai Shenxin,11,2014-14
Changchun Yatai,12,2014-14
Zhejiang Professional,13,2014-14
Henan Songshan Longmen F.C.,14,2014-14
Dalian Professional FC,15,2014-14
Harbin Yiteng,16,2014-14
Guangzhou F.C.,1,2013-13
Shandong Taishan F.C.,2,2013-13
Beijing Guoan,3,2013-13
Shanghai Shenhua,4,2013-13
Beijing Renhe,5,2013-13
Dalian Professional FC,6,2013-13
Guangzhou City F.C.,7,2013-13
Tianjin Jinmen Tiger F.C.,8,2013-13
Shanghai Shenxin,9,2013-13
Shanghai Port F.C.,10,2013-13
Liaoning Hongyun,11,2013-13
Zhejiang Professional,12,2013-13
Jiangsu Suning FC,13,2013-13
Changchun Yatai,14,2013-13
Qingdao Jonoon,15,2013-13
Wuhan Yangtze River,16,2013-13
Guangzhou F.C.,1,2012-12
Jiangsu Suning FC,2,2012-12
Beijing Guoan,3,2012-12
Beijing Renhe,4,2012-12
Dalian Professional FC,5,2012-12
Changchun Yatai,6,2012-12
Guangzhou City F.C.,7,2012-12
Tianjin Jinmen Tiger F.C.,8,2012-12
Shanghai Shenhua,9,2012-12
Shandong Taishan F.C.,10,2012-12
Liaoning Hongyun,11,2012-12
Qingdao Jonoon,12,2012-12
Zhejiang Professional,13,2012-12
Dalian Shide,14,2012-12
Shanghai Shenxin,15,2012-12
Henan Songshan Longmen F.C.,16,2012-12
Guangzhou F.C.,1,2011-11
Beijing Guoan,2,2011-11
Liaoning Hongyun,3,2011-11
Jiangsu Suning FC,4,2011-11
Shandong Taishan F.C.,5,2011-11
Qingdao Jonoon,6,2011-11
Changchun Yatai,7,2011-11
Zhejiang Professional,8,2011-11
Beijing Renhe,9,2011-11
Tianjin Jinmen Tiger F.C.,10,2011-11
Shanghai Shenhua,11,2011-11
Henan Songshan Longmen F.C.,12,2011-11
Dalian Shide,13,2011-11
Shanghai Shenxin,14,2011-11
Chengdu Blades,15,2011-11
Shenzhen FC,16,2011-11
Shandong Taishan F.C.,1,2010-10
Tianjin Jinmen Tiger F.C.,2,2010-10
Zhejiang Professional,3,2010-10
Shanghai Shenhua,4,2010-10
Beijing Guoan,5,2010-10
Dalian Shide,6,2010-10
Liaoning Hongyun,7,2010-10
Henan Songshan Longmen F.C.,8,2010-10
Changchun Yatai,9,2010-10
Beijing Renhe,10,2010-10
Jiangsu Suning FC,11,2010-10
Shanghai Shenxin,12,2010-10
Shenzhen FC,13,2010-10
Chongqing Liangjiang Athletic F.C.,14,2010-10
Qingdao Jonoon,15,2010-10
Guangzhou City F.C.,16,2010-10
Beijing Guoan,1,2009-09
Changchun Yatai,2,2009-09
Henan Songshan Longmen F.C.,3,2009-09
Shanghai Shenhua,4,2009-09
Tianjin Jinmen Tiger F.C.,5,2009-09
Shandong Taishan F.C.,6,2009-09
Shenzhen FC,7,2009-09
Chengdu Blades,8,2009-09
Dalian Shide,9,2009-09
Beijing Renhe,10,2009-09
Guangzhou F.C.,11,2009-09
Jiangsu Suning FC,12,2009-09
Qingdao Jonoon,13,2009-09
Guangzhou City F.C.,14,2009-09
Zhejiang Professional,15,2009-09
Chongqing Liangjiang Athletic F.C.,16,2009-09
