team,pos,season
Al-Jazira,2,2009-10
Al-Ain FC,3,2009-10
Baniyas,4,2009-10
Al Wasl,5,2009-10
Sharjah Cultural Club,6,2009-10
Al Shabab,7,2009-10
Al Ahli,8,2009-10
Al-Dhafra,9,2009-10
Al Nasr,10,2009-10
Emirates Club,11,2009-10
Ajman Club,12,2009-10
