team,pos,season
Atlético Venezuela,8,2019-19
Deportivo Táchira,9,2019-19
Deportivo La Guaira FC,10,2019-19
Academia Puerto Cabello,11,2019-19
Metropolitanos FC,12,2019-19
Monagas SC,13,2019-19
Deportivo Lara,14,2019-19
AC LALA FC,15,2019-19
Estudiantes de Caracas,16,2019-19
Portuguesa FC,17,2019-19
Deportivo Anzoátegui,18,2019-19
Llaneros de Guanare,19,2019-19
Trujillanos FC,20,2019-19
Carabobo FC,1,2019-19
Caracas,2,2019-19
Aragua FC,3,2019-19
Mineros de Guayana,4,2019-19
Zamora FC,5,2019-19
Zulia,6,2019-19
Estudiantes de Mérida,7,2019-19
Atlético Venezuela,8,2019-19
Deportivo Táchira,9,2019-19
Deportivo La Guaira FC,10,2019-19
Academia Puerto Cabello,11,2019-19
Metropolitanos FC,12,2019-19
Monagas SC,13,2019-19
Deportivo Lara,14,2019-19
AC LALA FC,15,2019-19
Estudiantes de Caracas,16,2019-19
Portuguesa FC,17,2019-19
Deportivo Anzoátegui,18,2019-19
Llaneros de Guanare,19,2019-19
Trujillanos FC,20,2019-19
Monagas SC,1,2018-18
Deportivo Táchira,2,2018-18
Deportivo Lara,3,2018-18
Estudiantes de Mérida,4,2018-18
Zamora FC,5,2018-18
Mineros de Guayana,6,2018-18
Deportivo La Guaira FC,7,2018-18
Trujillanos FC,8,2018-18
Caracas,9,2018-18
Zulia,10,2018-18
Deportivo Anzoátegui,11,2018-18
Estudiantes de Caracas,12,2018-18
Academia Puerto Cabello,13,2018-18
Atlético Venezuela,14,2018-18
Metropolitanos FC,15,2018-18
Carabobo FC,16,2018-18
Aragua FC,17,2018-18
Portuguesa FC,18,2018-18
Carabobo FC,1,2018-18
Zamora FC,2,2018-18
Caracas,3,2018-18
Mineros de Guayana,4,2018-18
Deportivo La Guaira FC,5,2018-18
Deportivo Lara,6,2018-18
Estudiantes de Mérida,7,2018-18
Aragua FC,8,2018-18
Portuguesa FC,9,2018-18
Deportivo Táchira,10,2018-18
Atlético Venezuela,11,2018-18
Trujillanos FC,12,2018-18
Zulia,13,2018-18
Academia Puerto Cabello,14,2018-18
Monagas SC,15,2018-18
Estudiantes de Caracas,16,2018-18
Deportivo Anzoátegui,17,2018-18
Metropolitanos FC,18,2018-18
Deportivo Lara,1,2017-17
Mineros de Guayana,2,2017-17
Carabobo FC,3,2017-17
Estudiantes de Mérida,4,2017-17
Monagas SC,5,2017-17
Caracas,6,2017-17
Deportivo La Guaira FC,7,2017-17
Zamora FC,8,2017-17
Metropolitanos FC,9,2017-17
Deportivo Táchira,10,2017-17
Portuguesa FC,11,2017-17
Zulia,12,2017-17
Deportivo Zulia,13,2017-17
Trujillanos FC,14,2017-17
Atlético Venezuela,15,2017-17
Deportivo Anzoátegui,16,2017-17
Atletico Socopo,17,2017-17
Aragua FC,18,2017-17
Carabobo FC,1,2017-17
Deportivo Táchira,2,2017-17
Caracas,3,2017-17
Zamora FC,4,2017-17
Deportivo Anzoátegui,5,2017-17
Monagas SC,6,2017-17
Deportivo La Guaira FC,7,2017-17
Zulia,8,2017-17
Aragua FC,9,2017-17
Mineros de Guayana,10,2017-17
Atlético Venezuela,11,2017-17
Deportivo Lara,12,2017-17
Trujillanos FC,13,2017-17
Estudiantes de Mérida,14,2017-17
Metropolitanos FC,15,2017-17
Deportivo Zulia,16,2017-17
Atletico Socopo,17,2017-17
Portuguesa FC,18,2017-17
Carabobo FC,1,2016-16
Atlético Venezuela,2,2016-16
Caracas,3,2016-16
Monagas SC,4,2016-16
Deportivo Táchira,5,2016-16
Deportivo La Guaira FC,6,2016-16
Zulia,7,2016-16
Deportivo Anzoátegui,8,2016-16
Deportivo Lara,9,2016-16
Estudiantes de Mérida,10,2016-16
Zamora FC,11,2016-16
Portuguesa FC,12,2016-16
Aragua FC,13,2016-16
Mineros de Guayana,14,2016-16
Deportivo Zulia,15,2016-16
Trujillanos FC,16,2016-16
Llaneros de Guanare,17,2016-16
Estudiantes de Caracas,18,2016-16
Urena SC,19,2016-16
Deportivo Petare,20,2016-16
Zamora FC,1,2016-16
Deportivo Táchira,2,2016-16
Deportivo Anzoátegui,3,2016-16
Mineros de Guayana,4,2016-16
Caracas,5,2016-16
Deportivo La Guaira FC,6,2016-16
Deportivo Lara,7,2016-16
Aragua FC,8,2016-16
Trujillanos FC,9,2016-16
Zulia,10,2016-16
Carabobo FC,11,2016-16
Deportivo Zulia,12,2016-16
Urena SC,13,2016-16
Estudiantes de Mérida,14,2016-16
Portuguesa FC,15,2016-16
Atlético Venezuela,16,2016-16
Monagas SC,17,2016-16
Llaneros de Guanare,18,2016-16
Deportivo Petare,19,2016-16
Estudiantes de Caracas,20,2016-16
Deportivo La Guaira FC,1,2015-15
Zamora FC,2,2015-15
Deportivo Táchira,3,2015-15
Zulia,4,2015-15
Mineros de Guayana,5,2015-15
Caracas,6,2015-15
Aragua FC,7,2015-15
Deportivo Lara,8,2015-15
Trujillanos FC,9,2015-15
Deportivo Anzoátegui,10,2015-15
Estudiantes de Caracas,11,2015-15
Carabobo FC,12,2015-15
Llaneros de Guanare,13,2015-15
Portuguesa FC,14,2015-15
Estudiantes de Mérida,15,2015-15
Atlético Venezuela,16,2015-15
Urena SC,17,2015-15
Deportivo Petare,18,2015-15
Metropolitanos FC,19,2015-15
Tucanes FC,20,2015-15
Llaneros de Guanare,1,2015-15
Deportivo La Guaira FC,2,2015-15
Carabobo FC,3,2015-15
Deportivo Táchira,4,2015-15
Mineros de Guayana,5,2015-15
Estudiantes de Mérida,6,2015-15
Zulia,7,2015-15
Deportivo Petare,8,2015-15
Zamora FC,9,2015-15
Trujillanos FC,10,2015-15
Deportivo Lara,11,2015-15
Aragua FC,12,2015-15
Tucanes FC,13,2015-15
Deportivo Anzoátegui,14,2015-15
Metropolitanos FC,15,2015-15
Caracas,16,2015-15
Atlético Venezuela,17,2015-15
Portuguesa FC,18,2015-15
